ROWNUM XCOUNT ODATE OYEAR OMONTH ODAY ODAYNUM NCOUNT NDNUM FLAG NDATE NDAY NMONTH NYEAR
29 3120762 2013-05-08 2013 5 8 37 3120762 37 r 2013-05-08 08 05 2013
30 4468610 2013-05-09 2013 5 9 38 4468610 38 r 2013-05-09 09 05 2013
31 3292718 2013-05-10 2013 5 10 39 3292718 39 r 2013-05-10 10 05 2013
32 3527114 2013-05-12 2013 5 12 41 3460395 40 i 2013-05-11 11 05 2013
32 3527114 2013-05-12 2013 5 12 41 3527114 41 r 2013-05-12 12 05 2013
33 3292842 2013-05-13 2013 5 13 42 3292842 42 r 2013-05-13 13 05 2013
34 3060329 2013-05-15 2013 5 15 44 3408074 43 i 2013-05-14 14 05 2013
34 3060329 2013-05-15 2013 5 15 44 3060329 44 r 2013-05-15 15 05 2013
35 4121733 2013-05-16 2013 5 16 45 4121733 45 r 2013-05-16 16 05 2013
36 3153713 2013-05-18 2013 5 18 47 3508396 46 i 2013-05-17 17 05 2013
36 3153713 2013-05-18 2013 5 18 47 3153713 47 r 2013-05-18 18 05 2013
37 4332108 2013-05-19 2013 5 19 48 4332108 48 r 2013-05-19 19 05 2013
38 3089655 2013-05-20 2013 5 20 49 3089655 49 r 2013-05-20 20 05 2013
39 4175719 2013-05-21 2013 5 21 50 4175719 50 r 2013-05-21 21 05 2013
40 3050674 2013-05-22 2013 5 22 51 3050674 51 r 2013-05-22 22 05 2013
41 3165936 2013-05-23 2013 5 23 52 3165936 52 r 2013-05-23 23 05 2013
42 3223163 2013-05-25 2013 5 25 54 3233064 53 i 2013-05-24 24 05 2013
42 3223163 2013-05-25 2013 5 25 54 3223163 54 r 2013-05-25 25 05 2013
43 3260217 2013-05-26 2013 5 26 55 3260217 55 r 2013-05-26 26 05 2013
44 2522676 2013-05-28 2013 5 28 57 3312299 56 i 2013-05-27 27 05 2013
44 2522676 2013-05-28 2013 5 28 57 2522676 57 r 2013-05-28 28 05 2013
45 4156566 2013-06-01 2013 6 1 61 3477271 58 i 2013-05-29 29 05 2013
45 4156566 2013-06-01 2013 6 1 61 3477271 59 i 2013-05-30 30 05 2013
45 4156566 2013-06-01 2013 6 1 61 3477271 60 i 2013-05-31 31 05 2013
45 4156566 2013-06-01 2013 6 1 61 4156566 61 r 2013-06-01 01 06 2013
46 3545241 2013-06-02 2013 6 2 62 3545241 62 r 2013-06-02 02 06 2013
47 4155766 2013-06-03 2013 6 3 63 4155766 63 r 2013-06-03 03 06 2013
48 4423086 2013-06-04 2013 6 4 64 4423086 64 r 2013-06-04 04 06 2013
49 5874059 2013-06-06 2013 6 6 66 4236573 65 i 2013-06-05 05 06 2013
49 5874059 2013-06-06 2013 6 6 66 5874059 66 r 2013-06-06 06 06 2013
50 3741449 2013-06-07 2013 6 7 67 3741449 67 r 2013-06-07 07 06 2013
51 3679842 2013-06-08 2013 6 8 68 3679842 68 r 2013-06-08 08 06 2013
52 5176510 2013-06-09 2013 6 9 69 5176510 69 r 2013-06-09 09 06 2013
53 3802286 2013-06-10 2013 6 10 70 3802286 70 r 2013-06-10 10 06 2013
54 4124598 2013-06-12 2013 6 12 72 4059036 71 i 2013-06-11 11 06 2013
54 4124598 2013-06-12 2013 6 12 72 4124598 72 r 2013-06-12 12 06 2013
55 3870016 2013-06-13 2013 6 13 73 3870016 73 r 2013-06-13 13 06 2013
56 3700967 2013-06-15 2013 6 15 75 4056497 74 i 2013-06-14 14 06 2013
56 3700967 2013-06-15 2013 6 15 75 3700967 75 r 2013-06-15 15 06 2013
57 5021557 2013-06-16 2013 6 16 76 5021557 76 r 2013-06-16 16 06 2013
58 3819561 2013-06-18 2013 6 18 78 4222460 77 i 2013-06-17 17 06 2013
58 3819561 2013-06-18 2013 6 18 78 3819561 78 r 2013-06-18 18 06 2013
59 5147088 2013-06-19 2013 6 19 79 5147088 79 r 2013-06-19 19 06 2013
60 3775573 2013-06-20 2013 6 20 80 3775573 80 r 2013-06-20 20 06 2013
61 5051919 2013-06-21 2013 6 21 81 5051919 81 r 2013-06-21 21 06 2013
62 3859910 2013-06-22 2013 6 22 82 3859910 82 r 2013-06-22 22 06 2013
63 3874241 2013-06-23 2013 6 23 83 3874241 83 r 2013-06-23 23 06 2013
64 4015213 2013-06-25 2013 6 25 85 4005402 84 i 2013-06-24 24 06 2013
64 4015213 2013-06-25 2013 6 25 85 4015213 85 r 2013-06-25 25 06 2013
65 4026523 2013-06-26 2013 6 26 86 4026523 86 r 2013-06-26 26 06 2013
66 3204607 2013-06-28 2013 6 28 88 4073112 87 i 2013-06-27 27 06 2013
66 3204607 2013-06-28 2013 6 28 88 3204607 88 r 2013-06-28 28 06 2013
67 4892941 2013-07-01 2013 7 1 91 4241054 89 i 2013-06-29 29 06 2013
67 4892941 2013-07-01 2013 7 1 91 4241054 90 i 2013-06-30 30 06 2013
67 4892941 2013-07-01 2013 7 1 91 4892941 91 r 2013-07-01 01 07 2013
68 4425147 2013-07-02 2013 7 2 92 4425147 92 r 2013-07-02 02 07 2013
69 4881896 2013-07-03 2013 7 3 93 4881896 93 r 2013-07-03 03 07 2013
70 5095658 2013-07-04 2013 7 4 94 5095658 94 r 2013-07-04 04 07 2013
71 6689347 2013-07-06 2013 7 6 96 4979416 95 i 2013-07-05 05 07 2013
71 6689347 2013-07-06 2013 7 6 96 6689347 96 r 2013-07-06 06 07 2013
72 4428343 2013-07-07 2013 7 7 97 4428343 97 r 2013-07-07 07 07 2013
73 4356106 2013-07-08 2013 7 8 98 4356106 98 r 2013-07-08 08 07 2013
74 5892625 2013-07-09 2013 7 9 99 5892625 99 r 2013-07-09 09 07 2013
75 4369876 2013-07-10 2013 7 10 100 4369876 100 r 2013-07-10 10 07 2013
76 4750920 2013-07-12 2013 7 12 102 4660412 101 i 2013-07-11 11 07 2013
76 4750920 2013-07-12 2013 7 12 102 4750920 102 r 2013-07-12 12 07 2013
77 4368727 2013-07-13 2013 7 13 103 4368727 103 r 2013-07-13 13 07 2013
78 4224223 2013-07-15 2013 7 15 105 4609775 104 i 2013-07-14 14 07 2013
78 4224223 2013-07-15 2013 7 15 105 4224223 105 r 2013-07-15 15 07 2013
79 5505067 2013-07-16 2013 7 16 106 5505067 106 r 2013-07-16 16 07 2013
80 4439837 2013-07-18 2013 7 18 108 4775988 107 i 2013-07-17 17 07 2013
80 4439837 2013-07-18 2013 7 18 108 4439837 108 r 2013-07-18 18 07 2013
81 5872612 2013-07-19 2013 7 19 109 5872612 109 r 2013-07-19 19 07 2013
82 4245467 2013-07-20 2013 7 20 110 4245467 110 r 2013-07-20 20 07 2013
83 5692411 2013-07-21 2013 7 21 111 5692411 111 r 2013-07-21 21 07 2013
84 4315421 2013-07-22 2013 7 22 112 4315421 112 r 2013-07-22 22 07 2013
85 4346254 2013-07-23 2013 7 23 113 4346254 113 r 2013-07-23 23 07 2013
86 4409658 2013-07-25 2013 7 25 115 4455583 114 i 2013-07-24 24 07 2013
86 4409658 2013-07-25 2013 7 25 115 4409658 115 r 2013-07-25 25 07 2013
87 4450884 2013-07-26 2013 7 26 116 4450884 116 r 2013-07-26 26 07 2013
88 3518873 2013-07-28 2013 7 28 118 4513330 117 i 2013-07-27 27 07 2013
88 3518873 2013-07-28 2013 7 28 118 3518873 118 r 2013-07-28 28 07 2013
89 5520773 2013-08-01 2013 8 1 122 4682575 119 i 2013-07-29 29 07 2013
89 5520773 2013-08-01 2013 8 1 122 4682575 120 i 2013-07-30 30 07 2013
89 5520773 2013-08-01 2013 8 1 122 4682575 121 i 2013-07-31 31 07 2013
89 5520773 2013-08-01 2013 8 1 122 5520773 122 r 2013-08-01 01 08 2013
90 4833542 2013-08-02 2013 8 2 123 4833542 123 r 2013-08-02 02 08 2013
91 5361725 2013-08-03 2013 8 3 124 5361725 124 r 2013-08-03 03 08 2013
92 5598226 2013-08-04 2013 8 4 125 5598226 125 r 2013-08-04 04 08 2013
93 7183374 2013-08-06 2013 8 6 127 5435298 126 i 2013-08-05 05 08 2013
93 7183374 2013-08-06 2013 8 6 127 7183374 127 r 2013-08-06 06 08 2013
94 4851346 2013-08-07 2013 8 7 128 4851346 128 r 2013-08-07 07 08 2013
95 4783575 2013-08-08 2013 8 8 129 4783575 129 r 2013-08-08 08 08 2013
96 6603746 2013-08-09 2013 8 9 130 6603746 130 r 2013-08-09 09 08 2013
97 4876848 2013-08-10 2013 8 10 131 4876848 131 r 2013-08-10 10 08 2013
98 5177026 2013-08-12 2013 8 12 133 5122872 132 i 2013-08-11 11 08 2013
98 5177026 2013-08-12 2013 8 12 133 5177026 133 r 2013-08-12 12 08 2013
99 4764379 2013-08-13 2013 8 13 134 4764379 134 r 2013-08-13 13 08 2013
100 4531662 2013-08-15 2013 8 15 136 5008584 135 i 2013-08-14 14 08 2013
100 4531662 2013-08-15 2013 8 15 136 4531662 136 r 2013-08-15 15 08 2013
101 5929088 2013-08-16 2013 8 16 137 5929088 137 r 2013-08-16 16 08 2013
102 4772504 2013-08-18 2013 8 18 139 5137896 138 i 2013-08-17 17 08 2013
102 4772504 2013-08-18 2013 8 18 139 4772504 139 r 2013-08-18 18 08 2013
103 6239666 2013-08-19 2013 8 19 140 6239666 140 r 2013-08-19 19 08 2013
104 4590079 2013-08-20 2013 8 20 141 4590079 141 r 2013-08-20 20 08 2013
105 6082226 2013-08-21 2013 8 21 142 6082226 142 r 2013-08-21 21 08 2013
106 4768082 2013-08-22 2013 8 22 143 4768082 143 r 2013-08-22 22 08 2013
107 4827795 2013-08-23 2013 8 23 144 4827795 144 r 2013-08-23 23 08 2013
108 4892084 2013-08-25 2013 8 25 146 4911071 145 i 2013-08-24 24 08 2013
108 4892084 2013-08-25 2013 8 25 146 4892084 146 r 2013-08-25 25 08 2013
109 5014437 2013-08-26 2013 8 26 147 5014437 147 r 2013-08-26 26 08 2013
110 3881807 2013-08-28 2013 8 28 149 5054875 148 i 2013-08-27 27 08 2013
110 3881807 2013-08-28 2013 8 28 149 3881807 149 r 2013-08-28 28 08 2013
111 6178271 2013-09-01 2013 9 1 153 5259849 150 i 2013-08-29 29 08 2013
111 6178271 2013-09-01 2013 9 1 153 5259849 151 i 2013-08-30 30 08 2013
111 6178271 2013-09-01 2013 9 1 153 5259849 152 i 2013-08-31 31 08 2013
111 6178271 2013-09-01 2013 9 1 153 6178271 153 r 2013-09-01 01 09 2013
112 5534857 2013-09-02 2013 9 2 154 5534857 154 r 2013-09-02 02 09 2013
113 6057642 2013-09-03 2013 9 3 155 6057642 155 r 2013-09-03 03 09 2013
114 6239275 2013-09-04 2013 9 4 156 6239275 156 r 2013-09-04 04 09 2013
115 7996563 2013-09-06 2013 9 6 158 6124163 157 i 2013-09-05 05 09 2013
115 7996563 2013-09-06 2013 9 6 158 7996563 158 r 2013-09-06 06 09 2013
116 5478631 2013-09-07 2013 9 7 159 5478631 159 r 2013-09-07 07 09 2013
117 5438015 2013-09-08 2013 9 8 160 5438015 160 r 2013-09-08 08 09 2013
118 7405382 2013-09-09 2013 9 9 161 7405382 161 r 2013-09-09 09 09 2013
119 5506586 2013-09-10 2013 9 10 162 5506586 162 r 2013-09-10 10 09 2013
120 5902552 2013-09-12 2013 9 12 164 5840200 163 i 2013-09-11 11 09 2013
120 5902552 2013-09-12 2013 9 12 164 5902552 164 r 2013-09-12 12 09 2013
121 5558640 2013-09-13 2013 9 13 165 5558640 165 r 2013-09-13 13 09 2013
122 5230027 2013-09-15 2013 9 15 167 5780121 166 i 2013-09-14 14 09 2013
122 5230027 2013-09-15 2013 9 15 167 5230027 167 r 2013-09-15 15 09 2013
123 6958960 2013-09-16 2013 9 16 168 6958960 168 r 2013-09-16 16 09 2013
124 5523961 2013-09-18 2013 9 18 170 6017012 169 i 2013-09-17 17 09 2013
124 5523961 2013-09-18 2013 9 18 170 5523961 170 r 2013-09-18 18 09 2013
125 7305357 2013-09-19 2013 9 19 171 7305357 171 r 2013-09-19 19 09 2013
126 5525132 2013-09-20 2013 9 20 172 5525132 172 r 2013-09-20 20 09 2013
127 7025407 2013-09-21 2013 9 21 173 7025407 173 r 2013-09-21 21 09 2013
128 5516810 2013-09-22 2013 9 22 174 5516810 174 r 2013-09-22 22 09 2013
129 5500230 2013-09-23 2013 9 23 175 5500230 175 r 2013-09-23 23 09 2013
130 5696756 2013-09-25 2013 9 25 177 5674114 176 i 2013-09-24 24 09 2013
130 5696756 2013-09-25 2013 9 25 177 5696756 177 r 2013-09-25 25 09 2013
131 5703138 2013-09-26 2013 9 26 178 5703138 178 r 2013-09-26 26 09 2013
132 4602347 2013-09-28 2013 9 28 180 5829643 179 i 2013-09-27 27 09 2013
132 4602347 2013-09-28 2013 9 28 180 4602347 180 r 2013-09-28 28 09 2013
133 7168627 2013-10-01 2013 10 1 183 6066280 181 i 2013-09-29 29 09 2013
133 7168627 2013-10-01 2013 10 1 183 6066280 182 i 2013-09-30 30 09 2013
133 7168627 2013-10-01 2013 10 1 183 7168627 183 r 2013-10-01 01 10 2013
134 6306762 2013-10-02 2013 10 2 184 6306762 184 r 2013-10-02 02 10 2013
135 6920050 2013-10-03 2013 10 3 185 6920050 185 r 2013-10-03 03 10 2013
136 7213429 2013-10-04 2013 10 4 186 7213429 186 r 2013-10-04 04 10 2013
137 9361501 2013-10-06 2013 10 6 188 7093862 187 i 2013-10-05 05 10 2013
137 9361501 2013-10-06 2013 10 6 188 9361501 188 r 2013-10-06 06 10 2013
138 6350093 2013-10-07 2013 10 7 189 6350093 189 r 2013-10-07 07 10 2013
139 6411342 2013-10-08 2013 10 8 190 6411342 190 r 2013-10-08 08 10 2013
140 8312304 2013-10-09 2013 10 9 191 8312304 191 r 2013-10-09 09 10 2013
141 6262771 2013-10-10 2013 10 10 192 6262771 192 r 2013-10-10 10 10 2013
142 6699126 2013-10-12 2013 10 12 194 6632092 193 i 2013-10-11 11 10 2013
142 6699126 2013-10-12 2013 10 12 194 6699126 194 r 2013-10-12 12 10 2013
143 6298232 2013-10-13 2013 10 13 195 6298232 195 r 2013-10-13 13 10 2013
144 5808780 2013-10-15 2013 10 15 197 6464747 196 i 2013-10-14 14 10 2013
144 5808780 2013-10-15 2013 10 15 197 5808780 197 r 2013-10-15 15 10 2013
145 7449834 2013-10-16 2013 10 16 198 7449834 198 r 2013-10-16 16 10 2013
146 6269739 2013-10-18 2013 10 18 200 6626416 199 i 2013-10-17 17 10 2013
146 6269739 2013-10-18 2013 10 18 200 6269739 200 r 2013-10-18 18 10 2013
147 7878547 2013-10-19 2013 10 19 201 7878547 201 r 2013-10-19 19 10 2013
148 6053365 2013-10-20 2013 10 20 202 6053365 202 r 2013-10-20 20 10 2013
149 7668574 2013-10-21 2013 10 21 203 7668574 203 r 2013-10-21 21 10 2013
150 6125574 2013-10-22 2013 10 22 204 6125574 204 r 2013-10-22 22 10 2013
151 6179480 2013-10-23 2013 10 23 205 6179480 205 r 2013-10-23 23 10 2013
152 6281341 2013-10-25 2013 10 25 207 6313953 206 i 2013-10-24 24 10 2013
152 6281341 2013-10-25 2013 10 25 207 6281341 207 r 2013-10-25 25 10 2013
153 6403243 2013-10-26 2013 10 26 208 6403243 208 r 2013-10-26 26 10 2013
154 5225509 2013-10-28 2013 10 28 210 6489490 209 i 2013-10-27 27 10 2013
154 5225509 2013-10-28 2013 10 28 210 5225509 210 r 2013-10-28 28 10 2013
155 7876321 2013-11-01 2013 11 1 214 6741601 211 i 2013-10-29 29 10 2013
155 7876321 2013-11-01 2013 11 1 214 6741601 212 i 2013-10-30 30 10 2013
155 7876321 2013-11-01 2013 11 1 214 6741601 213 i 2013-10-31 31 10 2013
155 7876321 2013-11-01 2013 11 1 214 7876321 214 r 2013-11-01 01 11 2013
156 6971046 2013-11-02 2013 11 2 215 6971046 215 r 2013-11-02 02 11 2013
157 7692147 2013-11-03 2013 11 3 216 7692147 216 r 2013-11-03 03 11 2013
158 8063541 2013-11-04 2013 11 4 217 8063541 217 r 2013-11-04 04 11 2013
159 10148110 2013-11-06 2013 11 6 219 7848075 218 i 2013-11-05 05 11 2013
159 10148110 2013-11-06 2013 11 6 219 10148110 219 r 2013-11-06 06 11 2013
160 7087192 2013-11-07 2013 11 7 220 7087192 220 r 2013-11-07 07 11 2013
161 7126419 2013-11-08 2013 11 8 221 7126419 221 r 2013-11-08 08 11 2013
162 9115196 2013-11-09 2013 11 9 222 9115196 222 r 2013-11-09 09 11 2013
163 7040700 2013-11-10 2013 11 10 223 7040700 223 r 2013-11-10 10 11 2013
164 7598109 2013-11-12 2013 11 12 225 7410301 224 i 2013-11-11 11 11 2013
164 7598109 2013-11-12 2013 11 12 225 7598109 225 r 2013-11-12 12 11 2013
165 7037759 2013-11-13 2013 11 13 226 7037759 226 r 2013-11-13 13 11 2013
166 6543625 2013-11-15 2013 11 15 228 7204508 227 i 2013-11-14 14 11 2013
166 6543625 2013-11-15 2013 11 15 228 6543625 228 r 2013-11-15 15 11 2013
167 8155529 2013-11-16 2013 11 16 229 8155529 229 r 2013-11-16 16 11 2013
168 6851331 2013-11-18 2013 11 18 231 7318780 230 i 2013-11-17 17 11 2013
168 6851331 2013-11-18 2013 11 18 231 6851331 231 r 2013-11-18 18 11 2013
169 8681168 2013-11-19 2013 11 19 232 8681168 232 r 2013-11-19 19 11 2013
170 6643269 2013-11-20 2013 11 20 233 6643269 233 r 2013-11-20 20 11 2013
171 8263032 2013-11-21 2013 11 21 234 8263032 234 r 2013-11-21 21 11 2013
172 6662704 2013-11-22 2013 11 22 235 6662704 235 r 2013-11-22 22 11 2013
173 6743690 2013-11-23 2013 11 23 236 6743690 236 r 2013-11-23 23 11 2013
174 6797816 2013-11-25 2013 11 25 238 6874449 237 i 2013-11-24 24 11 2013
174 6797816 2013-11-25 2013 11 25 238 6797816 238 r 2013-11-25 25 11 2013
175 7139845 2013-11-26 2013 11 26 239 7139845 239 r 2013-11-26 26 11 2013
176 5639609 2013-11-28 2013 11 28 241 7109281 240 i 2013-11-27 27 11 2013
176 5639609 2013-11-28 2013 11 28 241 5639609 241 r 2013-11-28 28 11 2013
177 8644490 2013-12-01 2013 12 1 244 7408339 242 i 2013-11-29 29 11 2013
177 8644490 2013-12-01 2013 12 1 244 7408339 243 i 2013-11-30 30 11 2013
177 8644490 2013-12-01 2013 12 1 244 8644490 244 r 2013-12-01 01 12 2013
178 7690238 2013-12-02 2013 12 2 245 7690238 245 r 2013-12-02 02 12 2013
179 8538038 2013-12-03 2013 12 3 246 8538038 246 r 2013-12-03 03 12 2013
180 8766934 2013-12-04 2013 12 4 247 8766934 247 r 2013-12-04 04 12 2013
181 10981708 2013-12-06 2013 12 6 249 8600124 248 i 2013-12-05 05 12 2013
181 10981708 2013-12-06 2013 12 6 249 10981708 249 r 2013-12-06 06 12 2013
182 7741515 2013-12-07 2013 12 7 250 7741515 250 r 2013-12-07 07 12 2013
183 7882314 2013-12-08 2013 12 8 251 7882314 251 r 2013-12-08 08 12 2013
184 9937178 2013-12-09 2013 12 9 252 9937178 252 r 2013-12-09 09 12 2013
185 7838284 2013-12-10 2013 12 10 253 7838284 253 r 2013-12-10 10 12 2013
186 8414629 2013-12-12 2013 12 12 255 8152556 254 i 2013-12-11 11 12 2013
186 8414629 2013-12-12 2013 12 12 255 8414629 255 r 2013-12-12 12 12 2013
187 7707333 2013-12-13 2013 12 13 256 7707333 256 r 2013-12-13 13 12 2013
188 7135603 2013-12-15 2013 12 15 258 7995894 257 i 2013-12-14 14 12 2013
188 7135603 2013-12-15 2013 12 15 258 7135603 258 r 2013-12-15 15 12 2013
189 9155914 2013-12-16 2013 12 16 259 9155914 259 r 2013-12-16 16 12 2013
190 7723606 2013-12-18 2013 12 18 261 8153215 260 i 2013-12-17 17 12 2013
190 7723606 2013-12-18 2013 12 18 261 7723606 261 r 2013-12-18 18 12 2013
191 9513185 2013-12-19 2013 12 19 262 9513185 262 r 2013-12-19 19 12 2013
192 7683653 2013-12-20 2013 12 20 263 7683653 263 r 2013-12-20 20 12 2013
193 9366428 2013-12-21 2013 12 21 264 9366428 264 r 2013-12-21 21 12 2013
194 7459387 2013-12-22 2013 12 22 265 7459387 265 r 2013-12-22 22 12 2013
195 7599972 2013-12-23 2013 12 23 266 7599972 266 r 2013-12-23 23 12 2013
196 7777137 2013-12-25 2013 12 25 268 7772749 267 i 2013-12-24 24 12 2013
196 7777137 2013-12-25 2013 12 25 268 7777137 268 r 2013-12-25 25 12 2013
197 7913360 2013-12-26 2013 12 26 269 7913360 269 r 2013-12-26 26 12 2013
198 6520212 2013-12-28 2013 12 28 271 8056213 270 i 2013-12-27 27 12 2013
198 6520212 2013-12-28 2013 12 28 271 6520212 271 r 2013-12-28 28 12 2013
199 9774561 2014-01-01 2014 1 1 275 8383956 272 i 2013-12-29 29 12 2013
199 9774561 2014-01-01 2014 1 1 275 8383956 273 i 2013-12-30 30 12 2013
199 9774561 2014-01-01 2014 1 1 275 8383956 274 i 2013-12-31 31 12 2013
199 9774561 2014-01-01 2014 1 1 275 9774561 275 r 2014-01-01 01 01 2014
200 8752037 2014-01-02 2014 1 2 276 8752037 276 r 2014-01-02 02 01 2014
201 9566433 2014-01-03 2014 1 3 277 9566433 277 r 2014-01-03 03 01 2014
202 9859147 2014-01-04 2014 1 4 278 9859147 278 r 2014-01-04 04 01 2014
203 12445360 2014-01-06 2014 1 6 280 9757539 279 i 2014-01-05 05 01 2014
203 12445360 2014-01-06 2014 1 6 280 12445360 280 r 2014-01-06 06 01 2014
204 9050744 2014-01-07 2014 1 7 281 9050744 281 r 2014-01-07 07 01 2014
205 8871513 2014-01-08 2014 1 8 282 8871513 282 r 2014-01-08 08 01 2014
206 11292604 2014-01-09 2014 1 9 283 11292604 283 r 2014-01-09 09 01 2014
207 9216610 2014-01-10 2014 1 10 284 9216610 284 r 2014-01-10 10 01 2014
208 9950469 2014-01-12 2014 1 12 286 9428068 285 i 2014-01-11 11 01 2014
208 9950469 2014-01-12 2014 1 12 286 9950469 286 r 2014-01-12 12 01 2014
209 8929221 2014-01-13 2014 1 13 287 8929221 287 r 2014-01-13 13 01 2014
210 8307992 2014-01-15 2014 1 15 289 9299493 288 i 2014-01-14 14 01 2014
210 8307992 2014-01-15 2014 1 15 289 8307992 289 r 2014-01-15 15 01 2014
211 10550906 2014-01-16 2014 1 16 290 10550906 290 r 2014-01-16 16 01 2014
212 8841764 2014-01-18 2014 1 18 292 9454266 291 i 2014-01-17 17 01 2014
212 8841764 2014-01-18 2014 1 18 292 8841764 292 r 2014-01-18 18 01 2014
213 11151193 2014-01-19 2014 1 19 293 11151193 293 r 2014-01-19 19 01 2014
214 8944522 2014-01-20 2014 1 20 294 8944522 294 r 2014-01-20 20 01 2014
215 10885834 2014-01-21 2014 1 21 295 10885834 295 r 2014-01-21 21 01 2014
216 8661164 2014-01-22 2014 1 22 296 8661164 296 r 2014-01-22 22 01 2014
217 8962467 2014-01-23 2014 1 23 297 8962467 297 r 2014-01-23 23 01 2014
218 9161092 2014-01-25 2014 1 25 299 9147287 298 i 2014-01-24 24 01 2014
218 9161092 2014-01-25 2014 1 25 299 9161092 299 r 2014-01-25 25 01 2014
219 9427102 2014-01-26 2014 1 26 300 9427102 300 r 2014-01-26 26 01 2014
220 7786064 2014-01-28 2014 1 28 302 9483119 301 i 2014-01-27 27 01 2014
220 7786064 2014-01-28 2014 1 28 302 7786064 302 r 2014-01-28 28 01 2014
221 11347886 2014-02-01 2014 2 1 306 9826767 303 i 2014-01-29 29 01 2014
221 11347886 2014-02-01 2014 2 1 306 9826767 304 i 2014-01-30 30 01 2014
221 11347886 2014-02-01 2014 2 1 306 9826767 305 i 2014-01-31 31 01 2014
221 11347886 2014-02-01 2014 2 1 306 11347886 306 r 2014-02-01 01 02 2014
222 10214106 2014-02-02 2014 2 2 307 10214106 307 r 2014-02-02 02 02 2014
223 11024357 2014-02-03 2014 2 3 308 11024357 308 r 2014-02-03 03 02 2014
224 11415499 2014-02-04 2014 2 4 309 11415499 309 r 2014-02-04 04 02 2014
225 14149476 2014-02-06 2014 2 6 311 11333783 310 i 2014-02-05 05 02 2014
225 14149476 2014-02-06 2014 2 6 311 14149476 311 r 2014-02-06 06 02 2014
226 10597059 2014-02-07 2014 2 7 312 10597059 312 r 2014-02-07 07 02 2014
227 10602204 2014-02-08 2014 2 8 313 10602204 313 r 2014-02-08 08 02 2014
