i____	mapcode
612	      -1.125
613	      -0.875
614	      -1.125
615	      -0.625
616	      -1.375
617	      -0.875
618	      -1.125
619	      -1.000
620	      -1.000
621	      -0.750
622	      -1.250
623	      -0.375
624	      -1.625
625	      -0.250
626	      -1.750
627	      -0.875
628	      -1.125
629	      -0.875
630	      -1.125
631	      -0.625
632	      -1.375
633	      -0.125
634	      -1.875
635	      -1.000
636	      -1.000
637	      -0.125
638	      -1.875
639	      -0.750
640	      -1.250
641	      -0.875
642	      -1.125
643	      -0.875
644	      -1.125
645	      -0.625
646	      -1.375
647	      -0.250
648	      -1.750
649	      -0.625
650	      -1.375
651	      -1.000
652	      -1.000
653	      -0.875
654	      -1.125
655	      -0.750
656	      -1.250
657	      -1.000
658	      -1.000
659	      -0.750
660	      -1.250
661	      -0.125
662	      -1.875
663	      -0.375
664	      -1.625
665	      -0.375
666	      -1.625
667	      -0.625
668	      -1.375
669	       9.250
670	       8.750
671	       3.500
672	       2.500
673	       3.250
674	       2.750
675	       3.500
676	       2.500
677	       3.625
678	       2.375
679	       3.750
680	       2.250
681	       3.125
682	       2.875
683	       3.125
684	       2.875
685	       3.250
686	       2.750
687	       3.125
688	       2.875
689	       3.875
690	       2.125
691	       3.125
692	       2.875
693	       3.500
694	       2.500
695	       3.000
696	       3.000
697	       3.500
698	       2.500
699	       3.625
700	       2.375
701	       3.250
702	       2.750
703	       3.375
704	       2.625
705	       3.250
706	       2.750
707	       3.125
708	       2.875
709	       3.875
710	       2.125
711	       3.625
712	       2.375
713	       3.000
714	       3.000
715	       3.750
716	       2.250
717	       3.125
718	       2.875
719	       3.375
720	       2.625
721	       3.125
722	       2.875
723	       3.500
724	       2.500
725	       3.625
726	       2.375
727	       3.500
728	       2.500
729	       3.750
730	       2.250
731	       3.250
732	       2.750
733	       3.875
734	       2.125
735	       3.125
736	       2.875
737	       3.125
738	       2.875
739	       3.750
740	       2.250
741	       3.125
742	       2.875
743	       3.000
744	       3.000
745	       3.875
746	       2.125
747	       3.500
748	       2.500
749	       3.500
750	       2.500
751	       3.125
752	       2.875
753	       3.500
754	       2.500
755	       3.000
756	       3.000
757	       3.625
758	       2.375
759	       3.250
760	       2.750
761	       3.750
762	       2.250
763	       3.625
764	       2.375
765	       3.000
766	       3.000
767	       3.500
768	       2.500
769	       3.750
770	       2.250
771	       3.625
772	       2.375
773	       3.750
774	       2.250
775	       3.750
776	       2.250
777	       3.125
778	       2.875
779	       3.875
780	       2.125
781	       3.875
782	       2.125
783	       3.125
784	       2.875
785	     -12.125
786	     -13.875
787	      -5.875
788	      -6.125
789	      -5.250
790	      -6.750
791	      -5.625
792	      -6.375
793	      -5.250
794	      -6.750
795	      -5.125
796	      -6.875
797	      -5.375
798	      -6.625
799	      -6.000
800	      -6.000
801	      -5.750
802	      -6.250
803	      -5.375
804	      -6.625
805	      -6.000
806	      -6.000
807	      -5.500
808	      -6.500
809	      -6.000
810	      -6.000
811	      -5.125
812	      -6.875
813	      -5.250
814	      -6.750
815	      -5.625
816	      -6.375
817	      -5.625
818	      -6.375
819	      -5.625
820	      -6.375
821	      -6.000
822	      -6.000
823	      -5.125
824	      -6.875
825	      -5.250
826	      -6.750
827	      -5.500
828	      -6.500
829	      -5.375
830	      -6.625
831	      -5.500
832	      -6.500
833	      -5.750
834	      -6.250
835	      -5.875
836	      -6.125
837	      -6.000
838	      -6.000
839	      -5.875
840	      -6.125
841	      -5.500
842	      -6.500
843	      -5.750
844	      -6.250
845	      -6.000
846	      -6.000
847	      -5.750
848	      -6.250
849	      -5.500
850	      -6.500
851	      -5.625
852	      -6.375
853	      -5.625
854	      -6.375
855	      -5.250
856	      -6.750
857	      -5.750
858	      -6.250
859	      -5.750
860	      -6.250
861	      -5.500
862	      -6.500
863	      -5.500
864	      -6.500
865	      -5.625
866	      -6.375
867	      -5.500
868	      -6.500
869	      -6.000
870	      -6.000
871	      -5.375
872	      -6.625
873	      -5.250
874	      -6.750
875	      -5.500
876	      -6.500
877	      -5.250
878	      -6.750
879	      -5.750
880	      -6.250
881	      -5.625
882	      -6.375
883	      -6.000
884	      -6.000
885	      10.625
886	       9.375
887	     -10.125
888	     -11.875
889	     -10.875
890	     -11.125
891	     -10.250
892	     -11.750
893	     -10.250
894	     -11.750
895	     -10.250
896	     -11.750
897	     -10.750
898	     -11.250
899	     -10.125
900	     -11.875
901	     -10.500
902	     -11.500
903	     -10.500
904	     -11.500
905	     -10.250
906	     -11.750
907	     -10.500
908	     -11.500
909	     -11.000
910	     -11.000
911	     -10.625
912	     -11.375
913	     -10.750
914	     -11.250
915	     -10.375
916	     -11.625
917	     -11.000
918	     -11.000
919	     -10.125
920	     -11.875
921	     -11.000
922	     -11.000
923	     -10.750
924	     -11.250
925	     -10.250
926	     -11.750
927	     -10.625
928	     -11.375
929	     -10.500
930	     -11.500
931	     -10.250
932	     -11.750
933	     -10.250
934	     -11.750
935	     -11.000
936	     -11.000
937	     -10.750
938	     -11.250
939	     -10.875
940	     -11.125
941	     -10.250
942	     -11.750
943	     -11.000
944	     -11.000
945	     -10.125
946	     -11.875
947	     -11.000
948	     -11.000
949	     -10.125
950	     -11.875
951	     -10.625
952	     -11.375
953	     -11.000
954	     -11.000
955	     -10.125
956	     -11.875
957	     -10.375
958	     -11.625
959	     -10.250
960	     -11.750
961	     -10.375
962	     -11.625
963	     -10.125
964	     -11.875
965	     -11.000
966	     -11.000
967	     -10.625
968	     -11.375
969	     -10.125
970	     -11.875
971	     -10.125
972	     -11.875
973	     -10.125
974	     -11.875
975	     -10.750
976	     -11.250
977	     -11.000
978	     -11.000
979	     -10.125
980	     -11.875
981	     -10.500
982	     -11.500
983	     -10.625
984	     -11.375
985	     -10.125
986	     -11.875
987	     -11.000
988	     -11.000
989	     -10.875
990	     -11.125
991	      13.625
992	      12.375
993	      -0.375
994	      -1.625
995	      -0.125
996	      -1.875
997	      -0.625
998	      -1.375
999	      -0.250
1000	      -1.750
1001	      -0.250
1002	      -1.750
1003	      -1.000
1004	      -1.000
1005	      -0.625
1006	      -1.375
1007	      -0.125
1008	      -1.875
1009	      -0.625
1010	      -1.375
1011	      -0.750
1012	      -1.250
1013	      -0.250
1014	      -1.750
1015	      -1.000
1016	      -1.000
1017	      -0.625
1018	      -1.375
1019	      -0.250
1020	      -1.750
1021	      -0.750
1022	      -1.250
1023	      -0.250
1024	      -1.750
1025	      -0.625
1026	      -1.375
1027	      -1.000
1028	      -1.000
1029	      -0.125
1030	      -1.875
1031	      -0.625
1032	      -1.375
1033	      -0.750
1034	      -1.250
1035	      -1.000
1036	      -1.000
1037	      -1.000
1038	      -1.000
1039	      -0.500
1040	      -1.500
1041	      -0.625
1042	      -1.375
1043	      -0.375
1044	      -1.625
1045	      -1.000
1046	      -1.000
1047	      -0.750
1048	      -1.250
1049	      -1.000
1050	      -1.000
1051	      -0.250
1052	      -1.750
1053	      -1.000
1054	      -1.000
1055	      -0.375
1056	      -1.625
1057	      -0.375
1058	      -1.625
1059	      -0.875
1060	      -1.125
1061	      -0.625
1062	      -1.375
1063	      -0.500
1064	      -1.500
1065	      -0.500
1066	      -1.500
1067	      -0.500
1068	      -1.500
1069	      -0.500
1070	      -1.500
1071	      -0.875
1072	      -1.125
1073	      -0.250
1074	      -1.750
1075	      -0.875
1076	      -1.125
1077	      -0.250
1078	      -1.750
1079	      -0.875
1080	      -1.125
1081	      -0.125
1082	      -1.875
1083	      -0.250
1084	      -1.750
1085	      -0.875
1086	      -1.125
1087	      10.875
1088	       9.125
1089	      -5.375
1090	      -6.625
1091	      -5.875
1092	      -6.125
1093	      -5.750
1094	      -6.250
1095	      -5.250
1096	      -6.750
1097	      -6.000
1098	      -6.000
1099	      -5.875
1100	      -6.125
1101	      -5.750
1102	      -6.250
1103	      -5.125
1104	      -6.875
1105	      -5.750
1106	      -6.250
1107	      -6.000
1108	      -6.000
1109	      -5.500
1110	      -6.500
1111	      -5.250
1112	      -6.750
1113	      -5.250
1114	      -6.750
1115	      -5.500
1116	      -6.500
1117	      -6.000
1118	      -6.000
1119	      -5.250
1120	      -6.750
1121	      -5.625
1122	      -6.375
1123	      -5.250
1124	      -6.750
1125	      -5.375
1126	      -6.625
1127	      -5.375
1128	      -6.625
1129	      -5.250
1130	      -6.750
1131	      -5.625
1132	      -6.375
1133	      -5.625
1134	      -6.375
1135	      -5.625
1136	      -6.375
1137	      -6.000
1138	      -6.000
1139	      -5.375
1140	      -6.625
1141	      -5.875
1142	      -6.125
1143	      -6.000
1144	      -6.000
1145	      -6.000
1146	      -6.000
1147	      -5.250
1148	      -6.750
1149	      -5.375
1150	      -6.625
1151	      -5.875
1152	      -6.125
1153	      -5.125
1154	      -6.875
1155	      -5.125
1156	      -6.875
1157	      -5.625
1158	      -6.375
1159	      -5.625
1160	      -6.375
1161	      -5.625
1162	      -6.375
1163	      -5.125
1164	      -6.875
1165	      -5.750
1166	      -6.250
1167	      -5.375
1168	      -6.625
1169	      -5.875
1170	      -6.125
1171	      -6.000
1172	      -6.000
1173	      -6.000
1174	      -6.000
1175	      -5.625
1176	      -6.375
1177	      -5.625
1178	      -6.375
1179	      -5.125
1180	      -6.875
1181	      -5.750
1182	      -6.250
1183	       9.125
1184	       8.875
1185	       2.250
1186	       1.750
1187	       2.375
1188	       1.625
1189	       2.750
1190	       1.250
1191	       2.875
1192	       1.125
1193	       2.750
1194	       1.250
1195	       2.250
1196	       1.750
1197	       2.875
1198	       1.125
1199	       2.125
1200	       1.875
1201	       2.000
1202	       2.000
1203	       2.375
1204	       1.625
1205	       2.500
1206	       1.500
1207	       2.250
1208	       1.750
1209	       2.125
1210	       1.875
1211	       2.125
1212	       1.875
1213	       2.750
1214	       1.250
1215	       2.500
1216	       1.500
1217	       2.625
1218	       1.375
1219	       2.875
1220	       1.125
1221	       2.875
1222	       1.125
1223	       2.125
1224	       1.875
1225	       2.625
1226	       1.375
1227	       2.375
1228	       1.625
1229	       2.500
1230	       1.500
1231	       2.625
1232	       1.375
1233	       2.250
1234	       1.750
1235	       2.750
1236	       1.250
1237	       2.625
1238	       1.375
1239	       2.750
1240	       1.250
1241	       2.250
1242	       1.750
1243	       2.750
1244	       1.250
1245	       2.250
1246	       1.750
1247	       2.875
1248	       1.125
1249	       2.500
1250	       1.500
1251	       2.500
1252	       1.500
1253	       2.500
1254	       1.500
1255	       2.375
1256	       1.625
1257	       2.375
1258	       1.625
1259	       2.750
1260	       1.250
1261	       2.000
1262	       2.000
1263	       2.625
1264	       1.375
1265	       2.375
1266	       1.625
1267	       2.875
1268	       1.125
1269	       2.750
1270	       1.250
1271	       2.875
1272	       1.125
1273	       2.125
1274	       1.875
1275	       2.875
1276	       1.125
1277	       2.875
1278	       1.125
1279	      -7.125
1280	      -8.875
1281	      -7.000
1282	      -7.000
1283	      -6.125
1284	      -7.875
1285	      -6.375
1286	      -7.625
1287	      -6.625
1288	      -7.375
1289	      -6.625
1290	      -7.375
1291	      -7.000
1292	      -7.000
1293	      -7.000
1294	      -7.000
1295	      -6.500
1296	      -7.500
1297	      -6.375
1298	      -7.625
1299	      -7.000
1300	      -7.000
1301	      -7.000
1302	      -7.000
1303	      -7.000
1304	      -7.000
1305	      -6.500
1306	      -7.500
1307	      -6.125
1308	      -7.875
1309	      -6.625
1310	      -7.375
1311	      -6.875
1312	      -7.125
1313	      -7.000
1314	      -7.000
1315	      -6.250
1316	      -7.750
1317	      -7.000
1318	      -7.000
1319	      -6.250
1320	      -7.750
1321	      -6.125
1322	      -7.875
1323	      -6.500
1324	      -7.500
1325	      -6.625
1326	      -7.375
1327	      -6.875
1328	      -7.125
1329	      -6.625
1330	      -7.375
1331	      -6.500
1332	      -7.500
1333	      -6.750
1334	      -7.250
1335	      -6.750
1336	      -7.250
1337	      -6.875
1338	      -7.125
1339	      -6.250
1340	      -7.750
1341	      -6.500
1342	      -7.500
1343	      -6.875
1344	      -7.125
1345	      -6.625
1346	      -7.375
1347	      -7.000
1348	      -7.000
1349	      -7.000
1350	      -7.000
1351	      -6.875
1352	      -7.125
1353	      -6.125
1354	      -7.875
1355	      -6.750
1356	      -7.250
1357	      -7.000
1358	      -7.000
1359	      -6.750
1360	      -7.250
1361	      -6.500
1362	      -7.500
1363	      -6.875
1364	      -7.125
1365	      -7.000
1366	      -7.000
1367	      -6.125
1368	      -7.875
1369	      -6.250
1370	      -7.750
1371	      -6.250
1372	      -7.750
1373	      -6.625
1374	      -7.375
1375	      -6.875
1376	      -7.125
1377	      -6.750
1378	      -7.250
1379	      -6.250
1380	      -7.750
1381	      -7.000
1382	      -7.000
1383	      -6.875
1384	      -7.125
1385	      -6.625
1386	      -7.375
1387	      -6.250
1388	      -7.750
1389	      10.375
1390	       9.625
1391	      -0.125
1392	      -1.875
1393	      -0.500
1394	      -1.500
1395	      -0.500
1396	      -1.500
1397	      -0.875
1398	      -1.125
1399	      -0.250
1400	      -1.750
1401	      -0.375
1402	      -1.625
1403	      -1.000
1404	      -1.000
1405	      -0.750
1406	      -1.250
1407	      -0.625
1408	      -1.375
1409	      -1.000
1410	      -1.000
1411	      -0.875
1412	      -1.125
1413	      -0.875
1414	      -1.125
1415	      -0.625
1416	      -1.375
1417	      -0.750
1418	      -1.250
1419	      -1.000
1420	      -1.000
1421	      -1.000
1422	      -1.000
1423	      -0.125
1424	      -1.875
1425	      -0.750
1426	      -1.250
1427	      -0.125
1428	      -1.875
1429	      -0.875
1430	      -1.125
1431	      -0.500
1432	      -1.500
1433	      -1.000
1434	      -1.000
1435	      -0.625
1436	      -1.375
1437	      -0.500
1438	      -1.500
1439	      -0.625
1440	      -1.375
1441	      -0.125
1442	      -1.875
1443	      -1.000
1444	      -1.000
1445	      -0.875
1446	      -1.125
1447	      -0.875
1448	      -1.125
1449	      -0.625
1450	      -1.375
1451	      -0.125
1452	      -1.875
1453	      -0.625
1454	      -1.375
1455	      -0.750
1456	      -1.250
1457	      -0.875
1458	      -1.125
1459	      -0.875
1460	      -1.125
1461	      -0.375
1462	      -1.625
1463	      -0.625
1464	      -1.375
1465	      -0.750
1466	      -1.250
1467	      -0.250
1468	      -1.750
1469	      -0.375
1470	      -1.625
1471	      -0.375
1472	      -1.625
1473	      -0.625
1474	      -1.375
1475	      -0.750
1476	      -1.250
1477	      -0.875
1478	      -1.125
1479	      -0.750
1480	      -1.250
1481	      -0.375
1482	      -1.625
1483	       8.625
1484	       7.375
1485	       3.750
1486	       2.250
1487	       3.125
1488	       2.875
1489	       3.125
1490	       2.875
1491	       3.125
1492	       2.875
1493	       3.500
1494	       2.500
1495	       3.250
1496	       2.750
1497	       3.750
1498	       2.250
1499	       3.125
1500	       2.875
1501	       3.625
1502	       2.375
1503	       3.375
1504	       2.625
1505	       3.750
1506	       2.250
1507	       3.250
1508	       2.750
1509	       3.500
1510	       2.500
1511	       3.000
1512	       3.000
1513	       3.750
1514	       2.250
1515	       3.375
1516	       2.625
1517	       3.625
1518	       2.375
1519	       3.750
1520	       2.250
1521	       3.875
1522	       2.125
1523	       3.500
1524	       2.500
1525	       3.875
1526	       2.125
1527	       3.875
1528	       2.125
1529	       3.625
1530	       2.375
1531	       3.000
1532	       3.000
1533	       3.625
1534	       2.375
1535	       3.250
1536	       2.750
1537	       3.625
1538	       2.375
1539	       3.000
1540	       3.000
1541	       3.500
1542	       2.500
1543	       3.875
1544	       2.125
1545	       3.000
1546	       3.000
1547	       3.125
1548	       2.875
1549	       3.750
1550	       2.250
1551	       3.750
1552	       2.250
1553	       3.250
1554	       2.750
1555	       3.375
1556	       2.625
1557	       3.125
1558	       2.875
1559	       3.375
1560	       2.625
1561	       3.000
1562	       3.000
1563	       3.125
1564	       2.875
1565	       3.375
1566	       2.625
1567	       3.875
1568	       2.125
1569	       3.625
1570	       2.375
1571	       3.750
1572	       2.250
1573	       3.250
1574	       2.750
1575	       3.625
1576	       2.375
1577	       3.625
1578	       2.375
1579	       3.500
1580	       2.500
1581	       3.000
1582	       3.000
1583	       3.375
1584	       2.625
1585	       3.625
1586	       2.375
1587	       3.625
1588	       2.375
1589	       3.750
1590	       2.250
1591	       3.125
1592	       2.875
1593	       3.375
1594	       2.625
1595	       3.375
1596	       2.625
1597	       3.000
1598	       3.000
1599	       3.500
1600	       2.500
1601	       3.000
1602	       3.000
1603	      -7.875
1604	      -8.125
1605	      -3.625
1606	      -4.375
1607	      -3.500
1608	      -4.500
1609	      -3.625
1610	      -4.375
1611	      -3.500
1612	      -4.500
1613	      -3.375
1614	      -4.625
1615	      -3.750
1616	      -4.250
1617	      -3.625
1618	      -4.375
1619	      -3.125
1620	      -4.875
1621	      -3.625
1622	      -4.375
1623	      -3.750
1624	      -4.250
1625	      -3.875
1626	      -4.125
1627	      -3.500
1628	      -4.500
1629	      -3.625
1630	      -4.375
1631	      -3.750
1632	      -4.250
1633	      -3.875
1634	      -4.125
1635	      -4.000
1636	      -4.000
1637	      -3.750
1638	      -4.250
1639	      -3.750
1640	      -4.250
1641	      -3.875
1642	      -4.125
1643	      -3.375
1644	      -4.625
1645	      -4.000
1646	      -4.000
1647	      -3.750
1648	      -4.250
1649	      -3.125
1650	      -4.875
1651	      -3.625
1652	      -4.375
1653	      -3.125
1654	      -4.875
1655	      -3.750
1656	      -4.250
1657	      -3.875
1658	      -4.125
1659	      -3.125
1660	      -4.875
1661	      -3.250
1662	      -4.750
1663	      -3.375
1664	      -4.625
1665	      -3.875
1666	      -4.125
1667	      -4.000
1668	      -4.000
1669	      -3.375
1670	      -4.625
1671	      -4.000
1672	      -4.000
1673	      -3.250
1674	      -4.750
1675	      -3.500
1676	      -4.500
1677	      -4.000
1678	      -4.000
1679	      -3.625
1680	      -4.375
1681	      -3.750
1682	      -4.250
1683	      -3.750
1684	      -4.250
1685	      -3.375
1686	      -4.625
1687	      -3.375
1688	      -4.625
1689	      -3.500
1690	      -4.500
1691	      -3.750
1692	      -4.250
1693	      -3.625
1694	      -4.375
1695	      -3.375
1696	      -4.625
1697	      -3.625
1698	      -4.375
1699	      -3.875
1700	      -4.125
1701	      -3.125
1702	      -4.875
1703	      -3.125
1704	      -4.875
1705	      -3.750
1706	      -4.250
1707	      -4.000
1708	      -4.000
1709	      -3.500
1710	      -4.500
