i	DJIA-MINS
387	12273.76
388	12281.53
389	12282.33
390	12283.85
391	12290.66
392	12278.97
393	12288.02
394	12284.9
395	12287.94
396	12281.45
397	12281.93
398	12276.88
399	12277.45
400	12287.7
401	12288.66
402	12288.58
403	12296.91
404	12307.97
405	12310.13
406	12295.23
407	12316.38
408	12311.41
409	12316.14
410	12334
411	12324.87
412	12322.07
413	12310.21
414	12313.98
415	12307.41
416	12310.37
417	12314.46
418	12312.21
419	12309.41
420	12317.1
421	12317.42
422	12316.22
423	12314.38
424	12311.49
425	12311.09
426	12304.84
427	12305.64
428	12307.65
429	12310.69
430	12313.34
431	12316.22
432	12318.22
433	12317.18
434	12311.41
435	12315.34
436	12316.54
437	12322.31
438	12322.31
439	12313.82
440	12313.9
441	12312.93
442	12307.17
443	12303.72
444	12300.28
445	12299.88
446	12292.43
447	12296.75
448	12301.32
449	12301.48
450	12304.2
451	12304.52
452	12306.37
453	12307.73
454	12309.49
455	12310.05
456	12318.38
457	12316.3
458	12314.3
459	12312.05
460	12305.72
461	12307.17
462	12303.16
463	12311.09
464	12310.93
465	12311.01
466	12316.7
467	12317.26
468	12316.94
469	12316.3
470	12315.34
471	12317.66
472	12319.18
473	12319.9
474	12325.51
475	12325.35
476	12319.18
477	12312.77
478	12310.77
479	12318.7
480	12319.02
481	12315.5
482	12319.18
483	12319.1
484	12320.79
485	12320.79
486	12315.74
487	12315.34
488	12313.5
489	12314.14
490	12314.06
491	12314.46
492	12312.21
493	12316.06
494	12316.94
495	12321.75
496	12320.23
497	12321.43
498	12329.6
499	12327.76
500	12323.83
501	12322.71
502	12324.07
503	12326.31
504	12328
505	12334.08
506	12334.57
507	12330.8
508	12331.36
509	12329.36
510	12330.32
511	12329.6
512	12323.19
513	12315.34
514	12312.61
515	12327.19
516	12321.43
517	12325.43
518	12321.27
519	12323.99
520	12321.43
521	12319.9
522	12328.72
523	12328.96
524	12328.8
525	12327.36
526	12326.55
527	12328.32
528	12329.92
529	12329.12
530	12331.84
531	12331.6
532	12331.92
533	12324.31
534	12321.83
535	12317.58
536	12316.94
537	12318.78
538	12318.3
539	12310.05
540	12316.7
541	12314.06
542	12304.2
543	12304.52
544	12309.73
545	12311.97
546	12314.38
547	12317.26
548	12319.02
549	12329.68
550	12331.84
551	12332.72
552	12328.24
553	12327.68
554	12325.59
555	12332.32
556	12321.35
557	12325.83
558	12330.16
559	12327.52
560	12321.83
561	12321.03
562	12320.87
563	12321.35
564	12323.67
565	12325.75
566	12323.99
567	12323.35
568	12327.44
569	12333.12
570	12326.07
571	12323.99
572	12321.03
573	12321.67
574	12320.47
575	12317.1
576	12316.06
577	12317.42
578	12317.98
579	12318.46
580	12318.54
581	12311.17
582	12313.98
583	12316.86
584	12312.85
585	12314.86
586	12318.62
587	12320.23
588	12319.9
589	12320.14
590	12320.87
591	12316.94
592	12316.38
593	12316.06
594	12315.42
595	12318.46
596	12318.86
597	12319.66
598	12323.27
599	12325.51
600	12323.67
601	12323.59
602	12326.39
603	12321.59
604	12322.47
605	12320.79
606	12320.47
607	12320.95
608	12320.79
609	12327.03
610	12324.15
611	12316.46
612	12315.1
613	12311.17
614	12310.69
615	12315.98
616	12316.62
617	12318.22
618	12318.22
619	12316.94
620	12315.58
621	12316.62
622	12316.06
623	12318.14
624	12321.83
625	12320.71
626	12315.9
627	12318.54
628	12313.42
629	12310.37
630	12313.34
631	12314.06
632	12314.06
633	12314.86
634	12310.53
635	12311.01
636	12307.57
637	12306.77
638	12299.96
639	12300.36
640	12304.2
641	12303.24
642	12299
643	12301.16
644	12302.12
645	12303.4
646	12303.56
647	12304.44
648	12307.65
649	12311.41
650	12309.49
651	12309.25
652	12325.51
653	12343.3
654	12344.98
655	12345.22
656	12349.47
657	12352.43
658	12354.03
659	12348.99
660	12351.79
661	12356.6
662	12356.68
663	12341.37
664	12346.82
665	12348.58
666	12340.41
667	12335.53
668	12335.61
669	12335.53
670	12333.76
671	12334
672	12328.16
673	12328.48
674	12332.32
675	12332.48
676	12332.64
677	12307.09
678	12302.76
679	12306.05
680	12308.21
681	12310.61
682	12312.77
683	12313.66
684	12311.33
685	12315.74
686	12313.9
687	12310.37
688	12312.37
689	12316.06
690	12310.77
691	12308.13
692	12300.44
693	12303
694	12298.75
695	12298.84
696	12303.4
697	12303.64
698	12305.32
699	12302.04
700	12301.16
701	12303.4
702	12299.16
703	12304.84
704	12308.85
705	12314.06
706	12315.5
707	12317.9
708	12313.01
709	12314.54
710	12306.61
711	12310.13
712	12310.53
713	12311.09
714	12311.89
715	12312.29
716	12314.78
717	12313.82
718	12316.46
719	12317.18
720	12317.98
721	12315.98
722	12317.98
723	12317.1
724	12314.38
725	12316.3
726	12318.62
727	12316.22
728	12313.26
729	12318.06
730	12317.1
731	12312.69
732	12313.26
733	12312.05
734	12312.21
735	12311.73
736	12310.61
737	12310.85
738	12310.53
739	12313.26
740	12312.85
741	12313.58
742	12312.61
743	12314.54
744	12313.1
745	12314.7
746	12314.38
747	12315.26
748	12321.59
749	12322.71
750	12323.11
751	12319.82
752	12314.78
753	12315.02
754	12315.18
755	12313.82
756	12313.42
757	12314.62
758	12316.46
759	12315.82
760	12315.02
761	12312.77
762	12311.41
763	12305.88
764	12303
765	12304.84
766	12301.56
767	12293.39
768	12295.79
769	12297.39
770	12298.19
771	12296.03
772	12296.11
773	12290.9
774	12281.61
775	12284.25
776	12282.89
777	12283.05
778	12282.89
779	12284.82
780	12286.1
781	12283.61
782	12286.42
783	12289.14
784	12294.27
785	12291.54
786	12291.71
787	12284.9
788	12285.06
789	12287.3
790	12281.93
791	12275.28
792	12272
793	12278.65
794	12274.56
795	12273.52
796	12271.28
797	12264.95
798	12267.67
799	12271.52
800	12271.92
801	12268.63
802	12281.69
803	12279.53
804	12276.56
805	12273.44
806	12273.52
807	12275.44
808	12277.69
809	12279.45
810	12277.45
811	12283.05
812	12282.81
813	12278.73
814	12267.35
815	12273.36
816	12274.08
817	12275.52
818	12278.41
819	12260.62
820	12266.87
821	12293.95
822	12290.34
823	12290.18
824	12288.66
825	12284.82
826	12266.23
827	12250.45
828	12249.49
829	12253.89
830	12257.98
831	12262.38
832	12252.37
833	12251.17
834	12256.06
835	12260.3
836	12260.7
837	12267.35
838	12270.48
839	12267.43
840	12275.52
841	12269.67
842	12280.89
843	12286.9
844	12286.42
845	12283.53
846	12287.62
847	12296.27
848	12296.51
849	12295.07
850	12311.49
851	12306.45
852	12317.1
853	12318.3
854	12319.18
855	12316.78
856	12313.58
857	12314.38
858	12318.06
859	12318.54
860	12315.5
861	12317.42
862	12317.98
863	12323.51
864	12323.19
865	12314.94
866	12308.21
867	12308.85
868	12310.37
869	12307.89
870	12302.76
871	12291.95
872	12293.63
873	12295.07
874	12297.71
875	12298.19
876	12299.64
877	12302.04
878	12308.77
879	12305.48
880	12306.13
881	12305.4
882	12308.53
883	12305.72
884	12303.64
885	12302.84
886	12304.52
887	12303.32
888	12301.16
889	12300.12
890	12300.6
891	12298.11
892	12294.67
893	12298.92
894	12298.59
895	12300.12
896	12301.88
897	12306.61
898	12304.04
899	12301.4
900	12304.36
901	12302.44
902	12301.4
903	12302.6
904	12299.8
905	12296.75
906	12292.51
907	12296.43
908	12296.19
909	12303
910	12305.88
911	12306.93
912	12310.37
913	12317.58
914	12313.26
915	12311.49
916	12311.33
917	12312.29
918	12313.01
919	12315.74
920	12315.98
921	12311.49
922	12309.25
923	12311.09
924	12312.85
925	12311.81
926	12312.37
927	12308.93
928	12309.65
929	12309.81
930	12305.64
931	12298.43
932	12300.52
933	12303.8
934	12304.04
935	12304.36
936	12305.4
937	12307.25
938	12307.49
939	12305.64
940	12306.85
941	12318.7
942	12306.53
943	12315.82
944	12310.29
945	12311.81
946	12318.94
947	12314.14
948	12319.26
949	12320.71
950	12324.47
951	12325.99
952	12317.1
953	12323.27
954	12324.39
955	12322.07
956	12334.32
957	12334.57
958	12339.29
959	12350.91
960	12344.82
961	12340.97
962	12337.05
963	12335.05
964	12337.77
965	12337.93
966	12338.89
967	12340.09
968	12340.25
969	12336.89
970	12333.12
971	12333.12
972	12335.85
973	12333.92
974	12329.76
975	12331.52
976	12334.4
977	12335.69
978	12334.4
979	12337.29
980	12333.2
981	12334.81
982	12336.73
983	12333.44
984	12334.57
985	12334.73
986	12339.93
987	12338.49
988	12336.81
989	12337.77
990	12337.85
991	12334.57
992	12332.56
993	12330.88
994	12334.81
995	12332.72
996	12333.28
997	12332.8
998	12334.49
999	12334.16
1000	12334.97
1001	12334.97
1002	12335.61
1003	12331.68
1004	12328.4
1005	12325.83
1006	12323.83
1007	12321.99
1008	12321.83
1009	12318.14
1010	12311.81
1011	12315.18
1012	12316.3
1013	12316.3
1014	12315.98
1015	12319.1
1016	12320.71
1017	12321.75
1018	12319.98
1019	12322.07
1020	12321.75
1021	12321.19
1022	12322.15
1023	12322.55
1024	12323.43
1025	12324.15
1026	12325.43
1027	12323.99
1028	12324.07
1029	12324.39
1030	12325.19
1031	12323.27
1032	12325.43
1033	12325.99
1034	12334
1035	12333.92
1036	12334
1037	12336.09
1038	12333.36
1039	12331.68
1040	12329.92
1041	12327.76
1042	12327.68
1043	12326.71
1044	12330.96
1045	12331.68
1046	12330.96
1047	12328.96
1048	12328.32
1049	12328.96
1050	12330.88
1051	12329.76
1052	12328.16
1053	12330.48
1054	12331.36
1055	12330.48
1056	12330.88
1057	12330
1058	12327.52
1059	12325.27
1060	12323.19
1061	12323.67
1062	12324.55
1063	12324.63
1064	12324.63
1065	12324.55
1066	12320.55
1067	12321.59
1068	12320.06
1069	12318.62
1070	12319.1
1071	12325.35
1072	12325.27
1073	12325.43
1074	12328.48
1075	12328.48
1076	12326.63
1077	12317.18
1078	12318.06
1079	12320.95
1080	12328.16
1081	12323.99
1082	12317.58
1083	12318.86
1084	12315.9
1085	12327.19
1086	12317.66
1087	12313.9
1088	12315.1
1089	12313.18
1090	12312.21
1091	12315.9
1092	12313.18
1093	12315.74
1094	12314.78
1095	12316.38
1096	12315.66
1097	12321.75
1098	12321.11
1099	12317.98
1100	12313.9
1101	12319.58
1102	12320.63
1103	12323.59
1104	12322.79
1105	12318.38
1106	12320.39
1107	12315.58
1108	12315.1
1109	12314.86
1110	12313.74
1111	12313.66
1112	12311.73
1113	12311.09
1114	12310.69
1115	12316.14
1116	12315.34
1117	12315.9
1118	12314.46
1119	12314.94
1120	12316.94
1121	12316.86
1122	12316.78
1123	12318.46
1124	12316.06
1125	12317.02
1126	12313.82
1127	12311.09
1128	12309.89
1129	12303.72
1130	12306.61
1131	12314.3
1132	12311.33
1133	12310.45
1134	12310.29
1135	12304.76
1136	12309.01
1137	12305.08
1138	12303.4
1139	12293.95
1140	12290.9
1141	12271.44
1142	12277.93
1143	12277.45
1144	12275.76
1145	12267.75
1146	12258.54
1147	12265.11
1148	12256.7
1149	12260.86
1150	12269.43
1151	12269.75
1152	12271.52
1153	12273.44
1154	12268.95
1155	12269.67
1156	12269.43
1157	12273.6
1158	12274.64
1159	12275.76
1160	12275.68
1161	12275.44
1162	12277.28
1163	12275.04
1164	12274.72
1165	12276.56
1166	12278.25
1167	12279.69
1168	12279.21
1169	12279.93
1170	12277.37
1171	12278.09
1172	12276.56
1173	12278.73
1174	12279.05
1175	12295.71
1176	12292.83
1177	12291.46
1178	12293.15
1179	12290.02
1180	12290.9
1181	12289.3
1182	12287.7
1183	12285.46
1184	12287.54
1185	12289.22
1186	12290.5
1187	12290.66
1188	12289.38
1189	12289.22
1190	12287.78
1191	12288.26
1192	12289.38
1193	12282.25
1194	12283.45
1195	12286.02
1196	12307.89
1197	12312.29
1198	12318.7
1199	12316.06
1200	12312.85
1201	12320.55
1202	12321.91
1203	12310.21
1204	12290.98
1205	12293.79
1206	12291.38
1207	12294.91
1208	12287.22
1209	12288.1
1210	12302.04
1211	12303.8
1212	12303.4
1213	12313.26
1214	12309.33
1215	12307.81
1216	12320.55
1217	12318.7
1218	12319.18
1219	12320.47
1220	12322.63
1221	12323.43
1222	12314.14
1223	12306.53
1224	12304.84
1225	12312.13
1226	12310.85
1227	12316.22
1228	12308.05
1229	12308.61
1230	12317.34
1231	12312.45
1232	12307.81
1233	12307.81
1234	12311.49
1235	12311.81
1236	12312.85
1237	12312.85
1238	12311.49
1239	12313.5
1240	12315.58
1241	12315.66
1242	12315.58
1243	12331.3
1244	12331.3
1245	12348.91
1246	12348.91
1247	12363.01
1248	12363.01
1249	12356.28
1250	12356.28
1251	12358.2
1252	12358.2
1253	12359.8
1254	12359.8
1255	12357.56
1256	12357.56
1257	12360.52
1258	12360.52
1259	12354.43
1260	12354.43
1261	12353.31
1262	12353.31
1263	12350.27
1264	12350.27
1265	12346.26
1266	12346.26
1267	12341.62
1268	12341.62
1269	12328.56
1270	12328.56
1271	12325.43
1272	12325.43
1273	12328.96
1274	12328.96
1275	12332.56
1276	12332.56
1277	12325.91
1278	12325.91
1279	12324.07
1280	12324.07
1281	12325.35
1282	12325.35
1283	12328.56
1284	12328.56
1285	12330.72
1286	12330.72
1287	12320.31
1288	12320.31
1289	12312.05
1290	12312.05
1291	12314.54
1292	12314.54
1293	12312.93
1294	12312.93
1295	12319.9
1296	12319.9
1297	12315.66
1298	12315.66
1299	12314.46
1300	12314.46
1301	12317.42
1302	12317.42
1303	12321.59
1304	12321.59
1305	12320.14
1306	12320.14
1307	12326.95
1308	12326.95
1309	12332.56
1310	12332.56
1311	12330.64
1312	12330.64
1313	12327.03
1314	12327.03
1315	12328.88
1316	12328.88
1317	12325.35
1318	12325.35
1319	12329.68
1320	12329.68
1321	12328.16
1322	12328.16
1323	12323.99
1324	12323.99
1325	12325.91
1326	12325.91
1327	12325.43
1328	12325.43
1329	12326.47
1330	12326.47
1331	12325.19
1332	12325.19
1333	12326.55
1334	12326.55
1335	12329.52
1336	12329.52
1337	12331.76
1338	12331.76
1339	12334.49
1340	12334.49
1341	12328.48
1342	12328.48
1343	12328
1344	12328
1345	12328.4
1346	12328.4
1347	12326.87
1348	12326.87
1349	12327.6
1350	12327.6
1351	12326.63
1352	12326.63
1353	12331.68
1354	12331.68
1355	12332.4
1356	12332.4
1357	12331.52
1358	12331.52
1359	12330.96
1360	12330.96
1361	12329.6
1362	12329.6
1363	12332.24
1364	12332.24
1365	12333.68
1366	12333.68
1367	12332.72
1368	12332.72
1369	12327.11
1370	12327.11
1371	12325.27
1372	12325.27
1373	12323.67
1374	12323.67
1375	12320.71
1376	12320.71
1377	12317.02
1378	12317.02
1379	12320.39
1380	12320.39
1381	12320.63
1382	12320.63
1383	12321.83
1384	12321.83
1385	12322.23
1386	12322.23
1387	12318.38
1388	12318.38
1389	12318.54
1390	12318.54
1391	12319.26
1392	12319.26
1393	12320.71
1394	12320.71
1395	12319.18
1396	12319.18
1397	12319.34
1398	12318.06
1399	12318.38
1400	12315.18
1401	12317.42
1402	12317.42
1403	12317.9
1404	12318.3
1405	12320.47
1406	12322.63
1407	12324.55
1408	12324.71
1409	12323.51
1410	12324.55
1411	12326.15
1412	12326.87
1413	12323.51
1414	12321.27
1415	12319.74
1416	12322.79
1417	12319.82
1418	12318.94
1419	12319.74
1420	12319.34
1421	12314.14
1422	12308.29
1423	12306.37
1424	12307.33
1425	12310.13
1426	12307.89
1427	12309.09
1428	12307.25
1429	12311.81
1430	12308.77
1431	12312.77
1432	12318.06
1433	12320.95
1434	12317.9
1435	12318.06
1436	12321.83
1437	12319.18
1438	12319.74
1439	12318.46
1440	12316.14
1441	12316.06
1442	12317.02
1443	12313.26
1444	12313.18
1445	12314.62
1446	12310.53
1447	12312.85
1448	12312.37
1449	12313.74
1450	12308.77
1451	12315.74
1452	12313.58
1453	12312.85
1454	12312.13
1455	12310.93
1456	12311.33
1457	12313.1
1458	12307.17
1459	12307.33
1460	12310.77
1461	12313.1
1462	12315.18
1463	12316.3
1464	12313.66
1465	12312.93
1466	12311.89
1467	12311.25
1468	12310.37
1469	12315.42
1470	12310.37
1471	12311.97
1472	12314.3
1473	12317.26
1474	12318.7
1475	12322.07
1476	12320.63
1477	12320.14
1478	12322.95
1479	12322.79
1480	12320.79
1481	12319.58
1482	12325.43
1483	12322.87
1484	12322.23
1485	12318.22
1486	12317.5
1487	12314.3
1488	12319.74
1489	12319.02
1490	12329.68
1491	12333.04
1492	12332.48
1493	12334
1494	12336.17
1495	12348.75
1496	12348.99
1497	12370.46
1498	12377.18
1499	12370.54
1500	12387.68
1501	12390.72
1502	12385.2
1503	12381.99
1504	12378.95
1505	12374.94
1506	12377.51
1507	12374.7
1508	12372.94
1509	12376.22
1510	12391.12
1511	12383.19
1512	12381.03
1513	12381.43
1514	12382.71
1515	12380.39
1516	12379.75
1517	12383.91
1518	12382.15
1519	12378.23
1520	12387.12
1521	12386.48
1522	12385.68
1523	12384.8
1524	12384.96
1525	12383.51
1526	12385.2
1527	12379.67
1528	12379.19
1529	12380.87
1530	12379.03
1531	12377.51
1532	12379.19
1533	12377.51
1534	12379.75
1535	12376.06
1536	12378.07
1537	12377.02
1538	12378.07
1539	12376.62
1540	12377.27
1541	12381.59
1542	12382.47
1543	12381.91
1544	12380.07
1545	12379.51
1546	12377.75
1547	12377.75
1548	12374.22
1549	12373.02
1550	12372.7
1551	12374.14
1552	12375.58
1553	12377.99
1554	12383.11
1555	12382.47
1556	12383.59
1557	12383.43
1558	12383.35
1559	12381.51
1560	12380.15
1561	12378.07
1562	12377.35
1563	12375.02
1564	12378.23
1565	12379.43
1566	12382.71
1567	12383.83
1568	12379.27
1569	12382.87
1570	12386.08
1571	12387.12
1572	12386.48
1573	12388.08
1574	12389.92
1575	12390.48
1576	12390.64
1577	12388.64
1578	12389.12
1579	12390.24
1580	12396.09
1581	12394.97
1582	12392.97
1583	12385.44
1584	12387.52
1585	12390.48
1586	12390.32
1587	12390.4
1588	12392.33
1589	12393.77
1590	12396.89
1591	12398.25
1592	12393.29
1593	12399.46
1594	12397.37
1595	12395.85
1596	12396.97
1597	12397.37
1598	12400.34
1599	12398.01
1600	12399.86
1601	12401.38
1602	12402.18
1603	12399.54
1604	12402.98
1605	12408.27
1606	12417.48
1607	12415.56
1608	12420.04
1609	12421.33
1610	12423.97
1611	12425.89
1612	12425.57
1613	12423.65
1614	12421.41
1615	12421.57
1616	12412.35
1617	12416.76
1618	12416.68
1619	12416.92
1620	12414.2
1621	12415.08
1622	12419
1623	12418.76
1624	12419.8
1625	12420.53
1626	12420.21
1627	12420.21
1628	12420.77
1629	12420.21
1630	12418.36
1631	12420.45
1632	12424.21
1633	12427.42
1634	12425.65
1635	12425.41
1636	12418.52
1637	12416.2
1638	12412.11
1639	12413.56
1640	12416.2
1641	12416.52
1642	12416.76
1643	12421.89
1644	12442.48
1645	12459.94
1646	12459.3
1647	12452.89
1648	12449.85
1649	12454.97
1650	12454.57
1651	12454.57
1652	12451.85
1653	12457.14
1654	12457.3
1655	12459.46
1656	12467.63
1657	12465.23
1658	12469.39
1659	12468.83
1660	12469.23
1661	12464.11
1662	12465.47
1663	12466.11
1664	12465.79
1665	12466.27
1666	12466.19
1667	12463.23
1668	12463.87
1669	12463.95
1670	12469.79
1671	12464.75
1672	12468.19
1673	12471.56
1674	12470.04
1675	12477.73
1676	12474.76
1677	12472.68
1678	12470.52
1679	12465.71
1680	12468.19
1681	12471.56
1682	12470.68
1683	12471.8
1684	12477.89
1685	12477.49
1686	12478.61
1687	12482.37
1688	12478.37
1689	12480.29
1690	12475.08
1691	12473
1692	12469.15
1693	12472.12
1694	12471.8
1695	12472.12
1696	12470.52
1697	12468.27
1698	12461.78
1699	12462.91
1700	12459.78
1701	12463.07
1702	12467.23
1703	12466.67
1704	12465.31
1705	12459.62
1706	12457.3
1707	12462.18
1708	12464.35
1709	12463.31
1710	12464.51
1711	12463.23
1712	12463.63
1713	12460.18
1714	12462.18
1715	12462.42
1716	12458.5
1717	12460.1
1718	12460.98
1719	12459.62
1720	12459.86
1721	12460.1
1722	12460.42
1723	12457.38
1724	12456.42
1725	12451.05
1726	12456.74
1727	12456.34
1728	12455.69
1729	12455.29
1730	12455.05
1731	12459.14
1732	12463.95
1733	12464.19
1734	12465.87
1735	12468.59
1736	12468.43
1737	12463.63
1738	12465.63
1739	12461.78
1740	12462.99
1741	12457.94
1742	12458.98
1743	12458.1
1744	12458.9
1745	12461.86
1746	12461.3
1747	12457.14
1748	12458.5
1749	12459.38
1750	12459.62
1751	12460.9
1752	12461.38
1753	12460.66
1754	12454.57
1755	12455.21
1756	12446.16
1757	12448.48
1758	12439.27
1759	12442.56
1760	12442.96
1761	12444.16
1762	12444.4
1763	12444.72
1764	12444.56
1765	12444.88
1766	12446.08
1767	12449.93
1768	12450.57
1769	12456.18
1770	12458.26
1771	12457.62
1772	12454.49
1773	12454.97
1774	12449.77
1775	12450.25
1776	12450.57
1777	12451.77
1778	12459.14
1779	12457.78
1780	12458.82
1781	12458.74
1782	12458.74
1783	12459.3
1784	12454.25
1785	12454.25
1786	12454.01
1787	12454.41
1788	12450.09
1789	12452.89
1790	12451.69
1791	12451.45
1792	12453.77
1793	12453.93
1794	12455.78
1795	12451.77
1796	12450.33
1797	12448.89
1798	12449.85
1799	12450.49
1800	12452.01
1801	12450.25
1802	12449.85
1803	12450.97
1804	12452.01
1805	12454.41
1806	12453.05
1807	12454.09
1808	12447.76
1809	12449.13
1810	12449.29
1811	12449.05
1812	12448.81
1813	12449.77
1814	12444.56
1815	12441.11
1816	12438.15
1817	12438.07
1818	12438.39
1819	12441.92
1820	12440.63
1821	12439.67
1822	12438.95
1823	12443.92
1824	12446.48
1825	12444.88
1826	12444
1827	12445.04
1828	12445.52
1829	12453.93
1830	12462.34
1831	12456.98
1832	12455.37
1833	12453.77
1834	12461.46
1835	12459.86
1836	12460.66
1837	12468.83
1838	12470.36
1839	12475.16
1840	12481.09
1841	12485.74
1842	12480.29
1843	12482.13
1844	12480.85
1845	12479.49
1846	12483.17
1847	12480.21
1848	12488.7
1849	12487.58
1850	12488.62
1851	12480.93
1852	12482.93
1853	12480.21
1854	12478.45
1855	12478.93
1856	12473.56
1857	12480.37
1858	12480.85
1859	12483.81
1860	12474.04
1861	12477
1862	12474.84
1863	12475.16
1864	12476.44
1865	12479.01
1866	12478.53
1867	12474.12
1868	12467.39
1869	12465.15
1870	12468.27
1871	12468.59
1872	12466.75
1873	12467.23
1874	12473.08
1875	12469.87
1876	12470.04
1877	12471.48
