i	g(x)
290	3
291	3
292	3
293	3
294	3
295	3
296	3
297	3
298	3
299	3
300	3
301	3
302	3
303	3
304	3
305	3
306	3
307	3
308	3
309	3
310	3
311	3
312	3
313	3
314	3
315	3
316	3
317	3
318	3
319	3
320	3
321	3
322	3
323	3
324	3
325	3
326	3
327	3
328	3
329	3
330	3
331	3
332	3
333	3
334	3
335	3
336	3
337	3
338	3
339	3
340	3
341	3
342	3
343	3
344	3
345	3
346	3
347	3
348	3
349	3
350	3
351	3
352	-7
353	-7
354	-7
355	-11
356	-11
357	-11
358	-11
359	-11
360	-11
361	-11
362	-11
363	-11
364	-11
365	-11
366	-11
367	-11
368	-11
369	-11
370	-11
371	-11
372	-11
373	-11
374	-11
375	-11
376	-11
377	-11
378	-11
379	-11
380	-11
381	-11
382	-11
383	-11
384	-11
385	-11
386	-11
387	-11
388	-11
389	-11
390	-11
391	-11
392	-11
393	-11
394	-11
395	-11
396	-11
397	-11
398	-11
399	-11
400	-11
401	-11
402	-11
403	-11
404	-11
405	-11
406	-11
407	-11
408	-11
409	-11
410	-11
411	-11
412	-11
413	-11
414	-11
415	-11
416	-11
417	-11
418	-11
419	-11
420	-11
421	-11
422	-11
423	-11
424	-11
425	-11
426	-11
427	-11
428	-11
429	-11
430	-11
431	-11
432	-11
433	-11
434	-11
435	-11
436	-11
437	-11
438	-11
439	-11
440	-11
441	-11
442	-11
443	-11
444	-11
445	-11
446	-11
447	-11
448	-11
449	-11
450	-11
451	-11
452	-11
453	-11
454	-11
455	-11
456	-11
457	-11
458	-11
459	-11
460	-11
461	-11
462	-11
463	-11
464	-11
465	-11
466	-11
467	-11
468	-11
469	-11
470	-11
471	-11
472	-11
473	-11
474	-11
475	-11
476	-11
477	-11
478	-11
479	-11
480	-11
481	-11
482	-11
483	-11
484	-11
485	-11
486	-11
487	-11
488	-11
489	-11
490	-11
491	-11
492	-11
493	-11
494	-11
495	-11
496	-11
497	-11
498	-11
499	-11
500	-11
501	-11
502	-11
503	-11
504	-11
505	-11
506	-11
507	-11
508	-11
509	-11
510	-11
511	-11
512	-11
513	-11
514	-11
515	-11
516	-11
517	-11
518	-11
519	-11
520	-11
521	-11
522	-11
523	-11
524	-11
525	-11
526	-11
527	-11
528	-11
529	-11
530	-11
531	10
532	10
533	10
534	10
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
600	0
601	0
602	0
603	0
604	0
605	0
606	0
607	0
608	0
609	0
610	0
611	0
612	0
613	0
614	0
615	0
616	0
617	0
618	0
619	0
620	0
621	0
622	0
623	0
624	0
625	0
626	0
627	0
628	0
629	0
630	0
631	0
632	0
633	0
634	0
635	0
636	0
637	0
638	0
639	0
640	0
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
650	0
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	0
659	0
660	0
661	0
662	0
663	0
664	0
665	0
666	0
667	0
668	0
669	0
670	0
671	0
672	0
673	0
674	0
675	0
676	0
677	0
678	0
679	0
680	0
681	0
682	0
683	0
684	0
685	0
686	0
687	0
688	0
689	0
690	0
691	0
692	0
693	0
694	0
695	0
696	0
697	0
698	0
699	0
700	0
701	0
702	0
703	0
704	0
705	0
706	-9
707	-9
708	-9
709	-9
710	-9
711	-9
712	-9
713	-9
714	-9
715	-9
716	-9
717	-9
718	-9
719	-9
720	-9
721	-9
722	-9
723	-9
724	-9
725	-9
726	-9
727	-9
728	-9
729	-9
730	-9
731	-9
732	-9
733	-9
734	-9
735	-9
736	-9
737	-9
738	-9
739	-9
740	-9
741	-9
742	-9
743	-9
744	-9
745	-9
746	-9
747	-9
748	-9
749	-9
750	-9
751	-9
752	-9
753	-9
754	-9
755	-9
756	-9
757	-9
758	-9
759	-9
760	-9
761	-9
762	-9
763	-9
764	-9
765	-9
766	-9
767	-9
768	-9
769	-9
770	-9
771	-9
772	-9
773	-9
774	-9
775	-9
776	-9
777	-9
778	-9
779	-9
780	-9
781	-9
782	-9
783	-9
784	-9
785	-9
786	-9
787	-9
788	-9
789	-9
790	-9
791	-9
792	-9
793	-9
794	-9
795	-9
796	-9
797	-9
798	-9
799	-9
800	-9
801	-9
802	-9
803	-9
804	-9
805	-9
806	-9
807	-9
808	-9
809	-9
810	-9
811	-9
812	-9
813	-9
814	-9
815	-9
816	-9
817	-9
818	-9
819	-9
820	-9
821	-9
822	-9
823	-9
824	-9
825	-9
826	-9
827	-9
828	-9
829	-9
830	-9
831	-9
832	-9
833	-9
834	-9
835	-9
836	-9
837	-9
838	-9
839	-9
840	-9
841	-9
842	-9
843	-9
844	-9
845	-9
846	-9
847	-9
848	-9
849	-9
850	-9
851	-9
852	-9
853	-9
854	-9
855	-9
856	-9
857	-9
858	-9
859	-9
860	-9
861	-9
862	-9
863	-9
864	-9
865	-9
866	-9
867	-9
868	-9
869	-9
870	-9
871	-9
872	-9
873	-9
874	-9
875	-9
876	-9
877	11
878	-1
879	-1
880	-1
881	-1
882	-1
883	-1
884	-1
885	-1
886	-1
887	-1
888	-1
889	-1
890	-1
891	-1
892	-1
893	-1
894	-1
895	-1
896	-1
897	-1
898	-1
899	-1
900	-1
901	-1
902	-1
903	-1
904	-1
905	-1
906	-1
907	-1
908	-1
909	-1
910	-1
911	-1
912	-1
913	-1
914	-1
915	-1
916	-1
917	-1
918	-1
919	-1
920	-1
921	-1
922	-1
923	-1
924	-1
925	-1
926	-1
927	-1
928	-1
929	-1
930	-1
931	-1
932	-1
933	-1
934	-1
935	-1
936	-1
937	-1
938	-1
939	-1
940	-1
941	-1
942	-1
943	-1
944	-1
945	-1
946	-1
947	-1
948	-1
949	-1
950	-1
951	-1
952	-1
953	-1
954	-1
955	-1
956	-1
957	-1
958	-1
959	-1
960	-1
961	-1
962	-1
963	-1
964	-1
965	-1
966	-1
967	-1
968	-1
969	-1
970	-1
971	-1
972	-1
973	-1
974	-1
975	-1
976	-1
977	-1
978	-1
979	-1
980	-1
981	-1
982	-1
983	-1
984	-1
985	-1
986	-1
987	-1
988	-1
989	-1
990	-1
991	-1
992	-1
993	-1
994	-1
995	-1
996	-1
997	-1
998	-1
999	-1
1000	-1
1001	-1
1002	-1
1003	-1
1004	-1
1005	-1
1006	-1
1007	-1
1008	-1
1009	-1
1010	-1
1011	-1
1012	-1
1013	-1
1014	-1
1015	-1
1016	-1
1017	-1
1018	-1
1019	-1
1020	-1
1021	-1
1022	-1
1023	-1
1024	-1
1025	-1
1026	-1
1027	-1
1028	-1
1029	-1
1030	-1
1031	-1
1032	-1
1033	-1
1034	-1
1035	-1
1036	-1
1037	-1
1038	-1
1039	-1
1040	-1
1041	-1
1042	-1
1043	-1
1044	-1
1045	-1
1046	-1
1047	-1
1048	-1
1049	-1
1050	-1
1051	-1
1052	11
1053	5
1054	5
1055	5
1056	5
1057	5
1058	5
1059	5
1060	5
1061	5
1062	5
1063	5
1064	5
1065	5
1066	5
1067	5
1068	5
1069	5
1070	5
1071	5
1072	5
1073	5
1074	5
1075	5
1076	5
1077	5
1078	5
1079	5
1080	5
1081	5
1082	5
1083	5
1084	5
1085	5
1086	5
1087	5
1088	5
1089	5
1090	5
1091	5
1092	5
1093	5
1094	5
1095	5
1096	5
1097	5
1098	5
1099	5
1100	5
1101	5
1102	5
1103	5
1104	5
1105	5
1106	5
1107	5
1108	5
1109	5
1110	5
1111	5
1112	5
1113	5
1114	5
1115	5
1116	5
1117	5
1118	5
1119	5
1120	5
1121	5
1122	5
1123	5
1124	5
1125	5
1126	5
1127	5
1128	5
1129	5
1130	5
1131	5
1132	5
1133	5
1134	5
1135	5
1136	5
1137	5
1138	5
1139	5
1140	5
1141	5
1142	5
1143	5
1144	5
1145	5
1146	5
1147	5
1148	5
1149	5
1150	5
1151	5
1152	5
1153	5
1154	5
1155	5
1156	5
1157	5
1158	5
1159	5
1160	5
1161	5
1162	5
1163	5
1164	5
1165	5
1166	5
1167	5
1168	5
1169	5
1170	5
1171	5
1172	5
1173	5
1174	5
1175	5
1176	5
1177	5
1178	5
1179	5
1180	5
1181	5
1182	5
1183	5
1184	5
1185	5
1186	5
1187	5
1188	5
1189	5
1190	5
1191	5
1192	5
1193	5
1194	5
1195	5
1196	5
1197	5
1198	5
1199	5
1200	5
1201	5
1202	5
1203	5
1204	5
1205	5
1206	5
1207	5
1208	5
1209	5
1210	5
1211	5
1212	5
1213	5
1214	5
1215	5
1216	5
1217	5
1218	5
1219	5
1220	5
1221	5
1222	5
1223	5
1224	5
1225	5
1226	-1
1227	-1
1228	-1
1229	-9
1230	-9
1231	-9
1232	-9
1233	-9
1234	-9
1235	-9
1236	-9
1237	-9
1238	-9
1239	-9
1240	-9
1241	-9
1242	-9
1243	-9
1244	-9
1245	-9
1246	-9
1247	-9
1248	-9
1249	-9
1250	-9
1251	-9
1252	-9
1253	-9
1254	-9
1255	-9
1256	-9
1257	-9
1258	-9
1259	-9
1260	-9
1261	-9
1262	-9
1263	-9
1264	-9
1265	-9
1266	-9
1267	-9
1268	-9
1269	-9
1270	-9
1271	-9
1272	-9
1273	-9
1274	-9
1275	-9
1276	-9
1277	-9
1278	-9
1279	-9
1280	-9
1281	-9
1282	-9
1283	-9
1284	-9
1285	-9
1286	-9
1287	-9
1288	-9
1289	-9
1290	-9
1291	-9
1292	-9
1293	-9
1294	-9
1295	-9
1296	-9
1297	-9
1298	-9
1299	-9
1300	-9
1301	-9
1302	-9
1303	-9
1304	-9
1305	-9
1306	-9
1307	-9
1308	-9
1309	-9
1310	-9
1311	-9
1312	-9
1313	-9
1314	-9
1315	-9
1316	-9
1317	-9
1318	-9
1319	-9
1320	-9
1321	-9
1322	-9
1323	-9
1324	-9
1325	-9
1326	-9
1327	-9
1328	-9
1329	-9
1330	-9
1331	-9
1332	-9
1333	-9
1334	-9
1335	-9
1336	-9
1337	-9
1338	-9
1339	-9
1340	-9
1341	-9
1342	-9
1343	-9
1344	-9
1345	-9
1346	-9
1347	-9
1348	-9
1349	-9
1350	-9
1351	-9
1352	-9
1353	-9
1354	-9
1355	-9
1356	-9
1357	-9
1358	-9
1359	-9
1360	-9
1361	-9
1362	-9
1363	-9
1364	-9
1365	-9
1366	-9
1367	-9
1368	-9
1369	-9
1370	-9
1371	-9
1372	-9
1373	-9
1374	-9
1375	-9
1376	-9
1377	-9
1378	-9
1379	-9
1380	-9
1381	-9
1382	-9
1383	-9
1384	-9
1385	-9
1386	-9
1387	-9
1388	-9
1389	-9
1390	-9
1391	-9
1392	-9
1393	-9
1394	-9
1395	-9
1396	-9
1397	-9
1398	-9
1399	-9
1400	-9
1401	-9
1402	-9
1403	-9
1404	-9
1405	-9
1406	-9
1407	7
1408	7
1409	11
1410	11
1411	11
1412	11
1413	11
1414	11
1415	11
1416	11
1417	11
1418	11
1419	11
1420	11
1421	11
1422	11
1423	11
1424	11
1425	11
1426	11
1427	11
1428	11
1429	11
1430	11
1431	11
1432	11
1433	11
1434	11
1435	11
1436	11
1437	11
1438	11
1439	11
1440	11
1441	11
1442	11
1443	11
1444	11
1445	11
1446	11
1447	11
1448	11
1449	11
1450	11
1451	11
1452	11
1453	11
1454	11
1455	11
1456	11
1457	11
1458	11
1459	11
1460	11
1461	11
1462	11
1463	11
1464	11
1465	11
1466	11
1467	11
1468	11
1469	11
1470	11
1471	11
1472	11
1473	11
1474	11
1475	11
1476	11
1477	11
1478	11
1479	11
1480	11
1481	11
1482	11
1483	11
1484	11
1485	11
1486	11
1487	11
1488	11
1489	11
1490	11
1491	11
1492	11
1493	11
1494	11
1495	11
1496	11
1497	11
1498	11
1499	11
1500	11
1501	11
1502	11
1503	11
1504	11
1505	11
1506	11
1507	11
1508	11
1509	11
1510	11
1511	11
1512	11
1513	11
1514	11
1515	11
1516	11
1517	11
1518	11
1519	11
1520	11
1521	11
1522	11
1523	11
1524	11
1525	11
1526	11
1527	11
1528	11
1529	11
1530	11
1531	11
1532	11
1533	11
1534	11
1535	11
1536	11
1537	11
1538	11
1539	11
1540	11
1541	11
1542	11
1543	11
1544	11
1545	11
1546	11
1547	11
1548	11
1549	11
1550	11
1551	11
1552	11
1553	11
1554	11
1555	11
1556	11
1557	11
1558	11
1559	11
1560	11
1561	11
1562	11
1563	11
1564	11
1565	11
1566	11
1567	11
1568	11
1569	11
1570	11
1571	11
1572	11
1573	11
1574	11
1575	11
1576	11
1577	11
1578	11
1579	11
1580	11
1581	11
1582	11
1583	11
1584	11
1585	11
1586	11
1587	11
1588	-1
1589	-1
1590	-9
1591	-9
1592	-9
1593	-9
1594	-9
1595	-9
1596	-9
1597	-9
1598	-9
1599	-9
1600	-9
1601	-9
1602	-9
1603	-9
1604	-9
1605	-9
1606	-9
1607	-9
1608	-9
1609	-9
1610	-9
1611	-9
1612	-9
1613	-9
1614	-9
1615	-9
1616	-9
1617	-9
1618	-9
1619	-9
1620	-9
1621	-9
1622	-9
1623	-9
1624	-9
1625	-9
1626	-9
1627	-9
1628	-9
1629	-9
1630	-9
1631	-9
1632	-9
1633	-9
1634	-9
1635	-9
1636	-9
1637	-9
1638	-9
1639	-9
1640	-9
1641	-9
1642	-9
1643	-9
1644	-9
1645	-9
1646	-9
1647	-9
1648	-9
1649	-9
1650	-9
1651	-9
1652	-9
1653	-9
1654	-9
1655	-9
1656	-9
1657	-9
1658	-9
1659	-9
1660	-9
1661	-9
1662	-9
1663	-9
1664	-9
1665	-9
1666	-9
1667	-9
1668	-9
1669	-9
1670	-9
1671	-9
1672	-9
1673	-9
1674	-9
1675	-9
1676	-9
1677	-9
1678	-9
1679	-9
1680	-9
1681	-9
1682	-9
1683	-9
1684	-9
1685	-9
1686	-9
1687	-9
1688	-9
1689	-9
1690	-9
1691	-9
1692	-9
1693	-9
1694	-9
1695	-9
1696	-9
1697	-9
1698	-9
1699	-9
1700	-9
1701	-9
1702	-9
1703	-9
1704	-9
1705	-9
1706	-9
1707	-9
1708	-9
1709	-9
1710	-9
1711	-9
1712	-9
1713	-9
1714	-9
1715	-9
1716	-9
1717	-9
1718	-9
1719	-9
1720	-9
1721	-9
1722	-9
1723	-9
1724	-9
1725	-9
1726	-9
1727	-9
1728	-9
1729	-9
1730	-9
1731	-9
1732	-9
1733	-9
1734	-9
1735	-9
1736	-9
1737	-9
1738	-9
1739	-9
1740	-9
1741	-9
1742	-9
1743	-9
1744	-9
1745	-9
1746	-9
1747	-9
1748	-9
1749	-9
1750	-9
1751	-9
1752	-9
1753	-9
1754	-9
1755	-9
1756	-9
1757	-9
1758	-9
1759	-9
1760	-9
1761	-9
1762	-9
1763	-9
1764	-9
1765	-9
1766	-9
1767	-9
1768	8
1769	8
1770	13
1771	13
1772	13
1773	13
1774	13
1775	13
1776	13
1777	13
1778	13
1779	13
1780	13
1781	13
1782	13
1783	13
1784	13
1785	13
1786	13
1787	13
1788	13
1789	13
1790	13
1791	13
1792	13
1793	13
1794	13
1795	13
1796	13
1797	13
1798	13
1799	13
1800	13
1801	13
1802	13
1803	13
1804	13
1805	13
1806	13
1807	13
1808	13
1809	13
1810	13
1811	13
1812	13
1813	13
1814	13
1815	13
1816	13
1817	13
1818	13
1819	13
1820	13
1821	13
1822	13
1823	13
1824	13
1825	13
1826	13
1827	13
1828	13
1829	13
1830	13
1831	13
1832	13
1833	13
1834	13
1835	13
1836	13
1837	13
1838	13
1839	13
1840	13
1841	13
1842	13
1843	13
1844	13
1845	13
1846	13
1847	13
1848	13
1849	13
1850	13
1851	13
1852	13
1853	13
1854	13
1855	13
1856	13
1857	13
1858	13
1859	13
1860	13
1861	13
1862	13
1863	13
1864	13
1865	13
1866	13
1867	13
1868	13
1869	13
1870	13
1871	13
1872	13
1873	13
1874	13
1875	13
1876	13
1877	13
1878	13
1879	13
1880	13
1881	13
1882	13
1883	13
1884	13
1885	13
1886	13
1887	13
1888	13
1889	13
1890	13
1891	13
1892	13
1893	13
1894	13
1895	13
1896	13
1897	13
1898	13
1899	13
1900	13
1901	13
1902	13
1903	13
1904	13
1905	13
1906	13
1907	13
1908	13
1909	13
1910	13
1911	13
1912	13
1913	13
1914	13
1915	13
1916	13
1917	13
1918	13
1919	13
1920	13
1921	13
1922	13
1923	13
1924	13
1925	13
1926	13
1927	13
1928	13
1929	13
1930	13
1931	13
1932	13
1933	13
1934	13
1935	13
1936	13
1937	13
1938	13
1939	13
1940	13
1941	13
1942	13
1943	13
1944	13
1945	13
1946	13
1947	13
1948	13
1949	-3
1950	-1
1951	-1
1952	-1
1953	-1
1954	-1
1955	-1
1956	-1
1957	-1
1958	-1
1959	-1
1960	-1
1961	-1
1962	-1
1963	-1
1964	-1
1965	-1
1966	-1
1967	-1
1968	-1
1969	-1
1970	-1
1971	-1
1972	-1
1973	-1
1974	-1
1975	-1
1976	-1
1977	-1
1978	-1
1979	-1
1980	-1
1981	-1
1982	-1
1983	-1
1984	-1
1985	-1
1986	-1
1987	-1
1988	-1
1989	-1
1990	-1
1991	-1
1992	-1
1993	-1
1994	-1
1995	-1
1996	-1
1997	-1
1998	-1
1999	-1
2000	-1
2001	-1
2002	-1
2003	-1
2004	-1
2005	-1
2006	-1
2007	-1
2008	-1
2009	-1
2010	-1
2011	-1
2012	-1
2013	-1
2014	-1
2015	-1
2016	-1
2017	-1
2018	-1
2019	-1
2020	-1
2021	-1
2022	-1
2023	-1
2024	-1
2025	-1
2026	-1
2027	-1
2028	-1
2029	-1
2030	-1
2031	-1
2032	-1
2033	-1
2034	-1
2035	-1
2036	-1
2037	-1
2038	-1
2039	-1
2040	-1
2041	-1
2042	-1
2043	-1
2044	-1
2045	-1
2046	-1
2047	-1
2048	-1
2049	-1
2050	-1
2051	-1
2052	-1
2053	-1
2054	-1
2055	-1
2056	-1
2057	-1
2058	-1
2059	-1
2060	-1
2061	-1
2062	-1
2063	-1
2064	-1
2065	-1
2066	-1
2067	-1
2068	-1
2069	-1
2070	-1
2071	-1
2072	-1
2073	-1
2074	-1
2075	-1
2076	-1
2077	-1
2078	-1
2079	-1
2080	-1
2081	-1
2082	-1
2083	-1
2084	-1
2085	-1
2086	-1
2087	-1
2088	-1
2089	-1
2090	-1
2091	-1
2092	-1
2093	-1
2094	-1
2095	-1
2096	-1
2097	-1
2098	-1
2099	-1
2100	-1
2101	-1
2102	-1
2103	-1
2104	-1
2105	-1
2106	-1
2107	-1
2108	-1
2109	-1
2110	-1
2111	-1
2112	-1
2113	-1
2114	-1
2115	-1
2116	-1
2117	-1
2118	-1
2119	-1
2120	-1
2121	-1
2122	-1
2123	-1
2124	-1
2125	-1
2126	-1
2127	-1
2128	-1
2129	-1
2130	3
2131	3
2132	3
2133	3
2134	3
2135	3
2136	3
2137	3
2138	3
2139	3
2140	3
2141	3
2142	3
2143	3
2144	3
2145	3
2146	3
2147	3
2148	3
2149	3
2150	3
2151	3
2152	3
2153	3
2154	3
2155	3
2156	3
2157	3
2158	3
2159	3
2160	3
2161	3
2162	3
2163	3
2164	3
2165	3
2166	3
2167	3
2168	3
2169	3
2170	3
2171	3
2172	3
2173	3
2174	3
2175	3
2176	3
2177	3
2178	3
2179	3
2180	3
2181	3
2182	3
2183	3
2184	3
2185	3
2186	3
2187	3
2188	3
2189	3
2190	3
2191	3
2192	3
2193	3
2194	3
2195	3
2196	3
2197	3
2198	3
2199	3
2200	3
2201	3
2202	3
2203	3
2204	3
2205	3
2206	3
2207	3
2208	3
2209	3
2210	3
2211	3
2212	3
2213	3
2214	3
2215	3
2216	3
2217	3
2218	3
2219	3
2220	3
2221	3
2222	3
2223	3
2224	3
2225	3
2226	3
2227	3
2228	3
2229	3
2230	3
2231	3
2232	3
2233	3
2234	3
2235	3
2236	3
2237	3
2238	3
2239	3
2240	3
2241	3
2242	3
2243	3
2244	3
2245	3
2246	3
2247	3
2248	3
2249	3
2250	3
2251	3
2252	3
2253	3
2254	3
2255	3
2256	3
2257	3
2258	3
2259	3
2260	3
2261	3
2262	3
2263	3
2264	3
2265	3
2266	3
2267	3
2268	3
2269	3
2270	3
2271	3
2272	3
2273	3
2274	3
2275	3
2276	3
2277	3
2278	3
2279	3
2280	3
2281	3
2282	3
2283	3
2284	3
2285	3
2286	3
2287	3
2288	3
2289	3
2290	3
2291	3
2292	3
2293	3
2294	3
2295	3
2296	3
2297	3
2298	3
2299	3
2300	3
2301	3
2302	3
2303	3
2304	3
2305	3
2306	3
2307	3
2308	3
2309	-11
2310	-11
2311	-11
2312	-11
2313	-6
2314	-6
2315	-6
2316	-6
2317	-6
2318	-6
2319	-6
2320	-6
2321	-6
2322	-6
2323	-6
2324	-6
2325	-6
2326	-6
2327	-6
2328	-6
2329	-6
2330	-6
2331	-6
2332	-6
2333	-6
2334	-6
2335	-6
2336	-6
2337	-6
2338	-6
2339	-6
2340	-6
2341	-6
2342	-6
2343	-6
2344	-6
2345	-6
2346	-6
2347	-6
2348	-6
2349	-6
2350	-6
2351	-6
2352	-6
2353	-6
2354	-6
2355	-6
2356	-6
2357	-6
2358	-6
2359	-6
2360	-6
2361	-6
2362	-6
2363	-6
2364	-6
2365	-6
2366	-6
2367	-6
2368	-6
2369	-6
2370	-6
2371	-6
2372	-6
2373	-6
2374	-6
2375	-6
2376	-6
2377	-6
2378	-6
2379	-6
2380	-6
2381	-6
2382	-6
2383	-6
2384	-6
2385	-6
2386	-6
2387	-6
2388	-6
2389	-6
2390	-6
2391	-6
2392	-6
2393	-6
2394	-6
2395	-6
2396	-6
2397	-6
2398	-6
2399	-6
2400	-6
2401	-6
2402	-6
2403	-6
2404	-6
2405	-6
2406	-6
2407	-6
2408	-6
2409	-6
2410	-6
2411	-6
2412	-6
2413	-6
2414	-6
2415	-6
2416	-6
2417	-6
2418	-6
2419	-6
2420	-6
2421	-6
2422	-6
2423	-6
2424	-6
2425	-6
2426	-6
2427	-6
2428	-6
2429	-6
2430	-6
2431	-6
2432	-6
2433	-6
2434	-6
2435	-6
2436	-6
2437	-6
2438	-6
2439	-6
2440	-6
2441	-6
2442	-6
2443	-6
2444	-6
2445	-6
2446	-6
2447	-6
2448	-6
2449	-6
2450	-6
2451	-6
2452	-6
2453	-6
2454	-6
2455	-6
2456	-6
2457	-6
2458	-6
2459	-6
2460	-6
2461	-6
2462	-6
2463	-6
2464	-6
2465	-6
2466	-6
2467	-6
2468	-6
2469	-6
2470	-6
2471	-6
2472	-6
2473	-6
2474	-6
2475	-6
2476	-6
2477	-6
2478	-6
2479	-6
2480	-6
2481	-6
2482	-6
2483	-6
2484	-6
2485	-6
2486	-3
2487	-3
2488	-3
2489	-3
2490	-3
2491	-3
2492	-3
2493	-3
2494	-3
2495	-3
2496	-3
2497	-3
2498	-3
2499	-3
2500	-3
2501	-3
2502	-3
2503	-3
2504	-3
2505	-3
2506	-3
2507	-3
2508	-3
2509	-3
2510	-3
2511	-3
2512	-3
2513	-3
2514	-3
2515	-3
2516	-3
2517	-3
2518	-3
2519	-3
2520	-3
2521	-3
2522	-3
2523	-3
2524	-3
2525	-3
2526	-3
2527	-3
2528	-3
2529	-3
2530	-3
2531	-3
2532	-3
2533	-3
2534	-3
2535	-3
2536	-3
2537	-3
2538	-3
2539	-3
2540	-3
2541	-3
2542	-3
2543	-3
2544	-3
2545	-3
2546	-3
2547	-3
2548	-3
2549	-3
2550	-3
2551	-3
2552	-3
2553	-3
2554	-3
2555	-3
2556	-3
2557	-3
2558	-3
2559	-3
2560	-3
2561	-3
2562	-3
2563	-3
2564	-3
2565	-3
2566	-3
2567	-3
2568	-3
2569	-3
2570	-3
2571	-3
2572	-3
2573	-3
2574	-3
2575	-3
2576	-3
2577	-3
2578	-3
2579	-3
2580	-3
2581	-3
2582	-3
2583	-3
2584	-3
2585	-3
2586	-3
2587	-3
2588	-3
2589	-3
2590	-3
2591	-3
2592	-3
2593	-3
2594	-3
2595	-3
2596	-3
2597	-3
2598	-3
2599	-3
2600	-3
2601	-3
2602	-3
2603	-3
2604	-3
2605	-3
2606	-3
2607	-3
2608	-3
2609	-3
2610	-3
2611	-3
2612	-3
2613	-3
2614	-3
2615	-3
2616	-3
2617	-3
2618	-3
2619	-3
2620	-3
2621	-3
2622	-3
2623	-3
2624	-3
2625	-3
2626	-3
2627	-3
2628	-3
2629	-3
2630	-3
2631	-3
2632	-3
2633	-3
2634	-3
2635	-3
2636	-3
2637	-3
2638	-3
2639	-3
2640	-3
2641	-3
2642	-3
2643	-3
2644	-3
2645	-3
2646	-3
2647	-3
2648	-3
2649	-3
2650	-3
2651	-3
2652	-3
2653	-3
2654	-3
2655	-3
2656	-3
2657	-3
2658	10
2659	10
2660	10
2661	0
2662	0
2663	0
2664	0
2665	0
2666	0
2667	0
2668	0
2669	0
2670	0
2671	0
2672	0
2673	0
2674	0
2675	0
2676	0
2677	0
2678	0
