i	Date	DJIA_DAY(i)=(high(i)-low(i))*vol(i) [$ in billions]
123	02/25/93	15.2280696
124	02/26/93	14.0449168
125	03/01/93	15.8633515
126	03/02/93	19.4518296
127	03/03/93	18.53750211
128	03/04/93	11.8482452
129	03/05/93	18.4260128
130	03/08/93	20.770464
131	03/09/93	15.0485244
132	03/10/93	16.4776183
133	03/11/93	14.1581584
134	03/12/93	15.2742234
135	03/15/93	9.1624095
136	03/16/93	9.3515035
137	03/17/93	11.759304
138	03/18/93	14.2273884
139	03/19/93	13.81213815
140	03/22/93	12.404331
141	03/23/93	11.715588
142	03/24/93	19.4710482
143	03/25/93	13.9822368
144	03/26/93	12.1945845
145	03/29/93	11.1238785
146	03/30/93	13.8691352
147	03/31/93	16.53432966
148	04/01/93	10.7787165
149	04/02/93	30.57408329
150	04/05/93	17.4724886
151	04/06/93	22.533992
152	04/07/93	18.41145961
153	04/08/93	20.29829535
154	04/12/93	15.9893799
155	04/13/93	17.50242352
156	04/14/93	14.9463072
157	04/15/93	16.896045
158	04/16/93	18.6330696
159	04/19/93	15.3384228
160	04/20/93	27.49023688
161	04/21/93	22.820239
162	04/22/93	27.41985401
163	04/23/93	16.2147421
164	04/26/93	20.4361624
165	04/27/93	19.804558
166	04/28/93	19.6938502
167	04/29/93	16.73392
168	04/30/93	15.0430934
169	05/03/93	13.3664472
170	05/04/93	14.2794582
171	05/05/93	15.6018768
172	05/06/93	14.4948004
173	05/07/93	12.251636
174	05/10/93	15.324479
175	05/11/93	13.1830832
176	05/12/93	15.4993216
177	05/13/93	16.768401
178	05/14/93	13.0198068
179	05/17/93	10.1409648
180	05/18/93	15.509124
181	05/19/93	36.2999442
182	05/20/93	18.6479284
183	05/21/93	18.0004488
184	05/24/93	10.7409575
185	05/25/93	10.6358901
186	05/26/93	16.54703917
187	05/27/93	17.73274856
188	05/28/93	12.4255578
189	06/01/93	13.6045387
190	06/02/93	13.1127704
191	06/03/93	15.26583255
192	06/04/93	10.52946
193	06/07/93	14.0997043
194	06/08/93	11.7346359
195	06/09/93	12.6133695
196	06/10/93	17.7041464
197	06/11/93	14.480048
198	06/14/93	10.8334512
199	06/15/93	14.1917482
200	06/16/93	17.79027
201	06/17/93	12.2135233
202	06/18/93	18.46272
203	06/21/93	12.2582565
204	06/22/93	14.5829907
205	06/23/93	19.0246362
206	06/24/93	14.8782435
207	06/25/93	8.3288194
208	06/28/93	13.4021024
209	06/29/93	14.76324415
210	06/30/93	14.1600144
211	07/01/93	16.0067124
212	07/02/93	9.531985
213	07/06/93	13.8278008
214	07/07/93	13.1749668
215	07/08/93	19.81218842
216	07/09/93	12.4990594
217	07/12/93	10.3036483
218	07/13/93	12.5674648
219	07/14/93	15.73824362
220	07/15/93	17.54647859
221	07/16/93	17.277777
222	07/19/93	13.0600932
223	07/20/93	18.53000442
224	07/21/93	15.87963091
225	07/22/93	13.1155602
226	07/23/93	13.596804
227	07/26/93	9.6702568
228	07/27/93	18.296005
229	07/28/93	17.31391898
230	07/29/93	16.2073296
231	07/30/93	16.6365238
232	08/02/93	12.2976844
233	08/03/93	14.5825966
234	08/04/93	11.4421896
235	08/05/93	12.627297
236	08/06/93	10.4449145
237	08/09/93	13.65777
238	08/10/93	13.4940112
239	08/11/93	15.2974933
240	08/12/93	19.61408147
241	08/13/93	10.0625278
242	08/16/93	13.4488692
243	08/17/93	14.9710228
244	08/18/93	19.2395512
245	08/19/93	15.00089538
246	08/20/93	14.620576
247	08/23/93	10.98625
248	08/24/93	15.508403
249	08/25/93	16.1860024
250	08/26/93	15.234744
251	08/27/93	9.7560036
252	08/30/93	8.8992694
253	08/31/93	10.9525956
254	09/01/93	11.2301832
255	09/02/93	12.9986974
256	09/03/93	9.4203048
257	09/07/93	12.955275
258	09/08/93	17.563524
259	09/09/93	15.3603264
260	09/10/93	16.06742495
261	09/13/93	11.636075
262	09/14/93	12.646518
263	09/15/93	20.89722066
264	09/16/93	11.360962
265	09/17/93	20.86392
266	09/20/93	14.7838332
267	09/21/93	27.488514
268	09/22/93	17.5225344
269	09/23/93	15.0005052
270	09/24/93	15.0550928
271	09/27/93	12.2508984
272	09/28/93	11.4895704
273	09/29/93	15.98661238
274	09/30/93	15.5676644
275	10/01/93	16.2932641
276	10/04/93	12.0516252
277	10/05/93	18.60504019
278	10/06/93	14.01420141
279	10/07/93	13.1228982
280	10/08/93	14.6348872
281	10/11/93	8.3443045
282	10/12/93	11.6542755
283	10/13/93	15.77422373
284	10/14/93	27.4882758
285	10/15/93	25.0638917
286	10/18/93	26.33923312
287	10/19/93	20.753992
288	10/20/93	17.08389719
289	10/21/93	19.6137662
290	10/22/93	25.8605376
291	10/25/93	19.7132763
292	10/26/93	18.60541565
293	10/27/93	16.10981402
294	10/28/93	16.7508442
295	10/29/93	15.04639681
296	11/01/93	13.1650626
297	11/02/93	20.953625
298	11/03/93	26.09957312
299	11/04/93	23.40986456
300	11/05/93	26.268093
301	11/08/93	12.1420884
302	11/09/93	18.58698803
303	11/10/93	18.93162443
304	11/11/93	17.80943429
305	11/12/93	19.1437632
306	11/15/93	13.1163175
307	11/16/93	21.3211572
308	11/17/93	28.6677276
309	11/18/93	22.6896824
310	11/19/93	21.50480946
311	11/22/93	19.64831708
312	11/23/93	13.890429
313	11/24/93	12.8253343
314	11/26/93	3.8325456
315	11/29/93	18.36429248
316	11/30/93	17.03477156
317	12/01/93	17.16200893
318	12/02/93	13.1081981
319	12/03/93	13.2186004
320	12/06/93	14.95180098
321	12/07/93	16.44431548
322	12/08/93	19.7701002
323	12/09/93	15.66968843
324	12/10/93	13.2462866
325	12/13/93	17.7835598
326	12/14/93	16.29396105
327	12/15/93	28.73791601
328	12/16/93	17.7346722
329	12/17/93	22.770751
330	12/20/93	12.585162
331	12/21/93	15.04901762
332	12/22/93	14.9242632
333	12/23/93	11.87329
334	12/27/93	9.328688
335	12/28/93	9.4913408
336	12/29/93	14.68886843
337	12/30/93	9.0839868
338	12/31/93	9.9400664
339	01/03/94	20.3847644
340	01/04/94	25.918976
341	01/05/94	28.37012873
342	01/06/94	26.6050816
343	01/07/94	20.5739344
344	01/10/94	22.30040088
345	01/11/94	18.9984221
346	01/12/94	20.72302193
347	01/13/94	15.6469304
348	01/14/94	18.70318038
349	01/17/94	14.7500992
350	01/18/94	19.95900017
351	01/19/94	21.99206197
352	01/20/94	17.90985958
353	01/21/94	20.0703734
354	01/24/94	19.467733
355	01/25/94	24.0448276
356	01/26/94	21.6064872
357	01/27/94	25.838505
358	01/28/94	16.392879
359	01/31/94	21.17058695
360	02/01/94	19.33125036
361	02/02/94	19.9053696
362	02/03/94	19.9764635
363	02/04/94	46.2115494
364	02/07/94	28.81237842
365	02/08/94	24.7130406
366	02/09/94	23.03074521
367	02/10/94	23.11366637
368	02/11/94	13.8952374
369	02/14/94	16.3677861
370	02/15/94	18.13128995
371	02/16/94	17.29268756
372	02/17/94	27.74984961
373	02/18/94	18.2347289
374	02/22/94	15.018696
375	02/23/94	18.13903324
376	02/24/94	24.6093744
377	02/25/94	15.6353384
378	02/28/94	15.1386977
379	03/01/94	22.95857329
380	03/02/94	37.39862114
381	03/03/94	22.5947844
382	03/04/94	21.06234792
383	03/07/94	16.4751102
384	03/08/94	17.61830195
385	03/09/94	17.52595079
386	03/10/94	23.59535458
387	03/11/94	20.05695394
388	03/14/94	15.15432
389	03/15/94	20.2857086
390	03/16/94	18.2834038
391	03/17/94	21.17923711
392	03/18/94	33.8036112
393	03/21/94	14.744444
394	03/22/94	15.73131041
395	03/23/94	17.534206
396	03/24/94	22.128792
397	03/25/94	20.2707073
398	03/28/94	21.1813056
399	03/29/94	24.92368822
400	03/30/94	41.5981904
401	03/31/94	52.0537484
402	04/04/94	38.668111
403	04/05/94	26.83066453
404	04/06/94	23.91236
405	04/07/94	20.3190272
406	04/08/94	19.3102608
407	04/11/94	16.8548058
408	04/12/94	15.6235625
409	04/13/94	24.3137249
410	04/14/94	18.65931551
411	04/15/94	21.08345159
412	04/18/94	23.41527562
413	04/19/94	33.3657288
414	04/20/94	42.5223054
415	04/21/94	34.4747352
416	04/22/94	20.49566121
417	04/25/94	22.5404312
418	04/26/94	18.25465061
419	04/28/94	27.180216
420	04/29/94	19.32558675
421	05/02/94	25.19177774
422	05/03/94	19.12095016
423	05/04/94	16.0978352
424	05/05/94	14.2214778
425	05/06/94	22.40117463
426	05/09/94	16.1911498
427	05/10/94	16.9993626
428	05/11/94	19.060154
429	05/12/94	15.82065907
430	05/13/94	16.1198765
431	05/16/94	15.4161292
432	05/17/94	25.3195152
433	05/18/94	26.6606224
434	05/19/94	22.836736
435	05/20/94	19.7534456
436	05/23/94	14.7763575
437	05/24/94	22.1763676
438	05/25/94	14.603134
439	05/26/94	15.9351594
440	05/27/94	9.041855
441	05/31/94	12.533928
442	06/01/94	18.86033688
443	06/02/94	15.93548644
444	06/03/94	16.20795204
445	06/06/94	16.3427664
446	06/07/94	12.9965784
447	06/08/94	15.20128
448	06/09/94	14.0039406
449	06/10/94	13.1441184
450	06/13/94	16.2464171
451	06/14/94	20.40337163
452	06/15/94	17.8756698
453	06/16/94	15.1118352
454	06/17/94	21.429426
455	06/20/94	12.5914672
456	06/21/94	24.53170629
457	06/22/94	13.6151842
458	06/23/94	17.158512
459	06/24/94	23.030069
460	06/27/94	22.7525067
461	06/28/94	19.9702468
462	06/29/94	17.4299345
463	06/30/94	21.42297357
464	07/01/94	12.8871925
465	07/05/94	11.3733276
466	07/06/94	15.6585528
467	07/07/94	15.06538
468	07/08/94	16.0029432
469	07/11/94	14.267378
470	07/12/94	16.249945
471	07/13/94	14.4563792
472	07/14/94	21.13269856
473	07/15/94	15.7185028
474	07/18/94	12.3726372
475	07/19/94	12.8657595
476	07/20/94	15.4298562
477	07/21/94	22.8815472
478	07/22/94	15.1327764
479	07/25/94	10.4365483
480	07/26/94	13.5600076
481	07/27/94	15.075632
482	07/28/94	13.7049216
483	07/29/94	15.1843148
484	08/01/94	15.5475996
485	08/02/94	15.5534298
486	08/03/94	14.7937408
487	08/04/94	15.81939738
488	08/05/94	10.2884636
489	08/08/94	10.4285697
490	08/09/94	11.7463629
491	08/10/94	15.56647989
492	08/11/94	15.79703608
493	08/12/94	13.5577953
494	08/15/94	12.5019921
495	08/16/94	22.1363416
496	08/17/94	17.82207658
497	08/18/94	16.27724359
498	08/19/94	15.94218782
499	08/22/94	11.6826411
500	08/23/94	18.3022868
501	08/24/94	26.377767
502	08/25/94	17.665872
503	08/26/94	20.3484528
504	08/29/94	15.419336
505	08/30/94	17.1616804
506	08/31/94	26.86828279
507	09/01/94	16.091792
508	09/02/94	12.247059
509	09/06/94	11.6886818
510	09/07/94	17.59086516
511	09/08/94	16.07804413
512	09/09/94	16.97207287
513	09/12/94	13.0071888
514	09/13/94	15.09975308
515	09/14/94	18.4169868
516	09/15/94	21.43209548
517	09/16/94	24.87502097
518	09/19/94	17.1721264
519	09/20/94	23.58645584
520	09/21/94	28.45127182
521	09/22/94	19.61279357
522	09/23/94	19.788957
523	09/26/94	17.69537186
524	09/27/94	18.26465929
525	09/28/94	16.6561094
526	09/29/94	17.4899208
527	09/30/94	19.1620566
528	10/03/94	17.11128438
529	10/04/94	27.7167744
530	10/05/94	27.10473241
531	10/06/94	16.0518656
532	10/07/94	20.36792295
533	10/10/94	11.4717113
534	10/11/94	24.674476
535	10/12/94	15.68781093
536	10/13/94	22.281126
537	10/14/94	16.6017138
538	10/17/94	15.8882038
539	10/18/94	13.7189386
540	10/19/94	22.29355073
541	10/20/94	26.661936
542	10/21/94	18.63576334
543	10/24/94	24.16526
544	10/25/94	26.110827
545	10/26/94	24.3081216
546	10/27/94	19.51989545
547	10/28/94	34.39534506
548	10/31/94	20.47601112
549	11/01/94	26.1746634
550	11/02/94	22.7412368
551	11/03/94	16.5595808
552	11/04/94	21.5217576
553	11/07/94	12.4403634
554	11/08/94	17.131654
555	11/09/94	28.839675
556	11/10/94	14.46124762
557	11/11/94	11.068704
558	11/14/94	14.2792392
559	11/15/94	25.91422527
560	11/16/94	17.9851088
561	11/17/94	22.72349002
562	11/18/94	25.56327065
563	11/21/94	25.33537518
564	11/22/94	45.60491708
565	11/23/94	39.99758631
566	11/25/94	5.4922047
567	11/28/94	17.5655256
568	11/29/94	14.6557012
569	11/30/94	19.530944
570	12/01/94	21.3553648
571	12/02/94	21.1732664
572	12/05/94	16.6099248
573	12/06/94	17.49701966
574	12/07/94	16.21562708
575	12/08/94	31.5690792
576	12/09/94	25.014314
577	12/12/94	19.03533153
578	12/13/94	17.97822034
579	12/14/94	25.44285
580	12/15/94	21.61138364
581	12/16/94	28.8537768
582	12/19/94	13.80997919
583	12/20/94	17.85096928
584	12/21/94	28.2918263
585	12/22/94	23.77010772
586	12/23/94	10.1178792
587	12/27/94	10.5864534
588	12/28/94	13.4236326
589	12/29/94	13.660425
590	12/30/94	15.7779282
591	01/03/95	15.542289
592	01/04/95	19.67223169
593	01/05/95	15.9145272
594	01/06/95	24.25435236
595	01/09/95	15.28445728
596	01/10/95	23.8319928
597	01/11/95	25.9836405
598	01/12/95	17.2735472
599	01/13/95	24.1307884
600	01/16/95	20.719638
601	01/17/95	19.37360856
602	01/18/95	20.89479
603	01/19/95	18.799165
604	01/20/95	27.13464115
605	01/23/95	22.91095807
606	01/24/95	18.35686107
607	01/25/95	26.2532304
608	01/26/95	19.57680797
609	01/27/95	29.47112551
610	01/30/95	27.64840261
611	01/31/95	25.7560496
612	02/01/95	30.453912
613	02/02/95	17.98537639
614	02/03/95	36.79286934
615	02/06/95	20.9301682
616	02/07/95	16.74975105
617	02/08/95	18.61045234
618	02/09/95	20.3709139
619	02/10/95	16.10747587
620	02/13/95	13.8788957
621	02/14/95	16.2900024
622	02/15/95	30.7718748
623	02/16/95	22.70988191
624	02/17/95	22.7653664
625	02/21/95	18.2433132
626	02/22/95	19.6226404
627	02/23/95	21.742497
628	02/24/95	18.03471655
629	02/27/95	18.97931496
630	02/28/95	17.108624
631	03/01/95	26.33491286
632	03/02/95	20.622319
633	03/03/95	19.453392
634	03/06/95	21.39168185
635	03/07/95	26.43869919
636	03/08/95	20.198672
637	03/09/95	18.319531
638	03/10/95	29.40291
639	03/13/95	16.9462368
640	03/14/95	25.0189992
641	03/15/95	19.0552824
642	03/16/95	24.89178212
643	03/17/95	23.58474229
644	03/20/95	19.3040456
645	03/21/95	27.80491261
646	03/22/95	21.4393264
647	03/23/95	19.60624342
648	03/24/95	24.41574701
649	03/27/95	19.0490112
650	03/28/95	17.7287224
651	03/29/95	35.49986237
652	03/30/95	30.8006616
653	03/31/95	33.0775368
654	04/03/95	20.8695356
655	04/04/95	22.06421357
656	04/05/95	19.94710829
657	04/06/95	19.2852828
658	04/07/95	22.86029366
659	04/10/95	14.6227094
660	04/11/95	19.17414709
661	04/12/95	19.049828
662	04/13/95	20.96097631
663	04/17/95	28.52763853
664	04/18/95	23.9621536
665	04/19/95	33.5539776
666	04/20/95	28.5430468
667	04/21/95	33.04709029
668	04/24/95	29.0675648
669	04/25/95	24.57605052
670	04/26/95	20.13885482
671	04/27/95	23.17364144
672	04/28/95	25.03230445
673	05/01/95	21.96838948
674	05/02/95	17.9884878
675	05/03/95	31.47342542
676	05/04/95	41.9654308
677	05/05/95	27.116496
678	05/08/95	26.44090265
679	05/09/95	22.12674558
680	05/10/95	35.40665458
681	05/11/95	27.508107
682	05/12/95	33.212
683	05/15/95	22.200048
684	05/16/95	20.5134036
685	05/17/95	22.98425474
686	05/18/95	33.58759947
687	05/19/95	28.7703914
688	05/22/95	22.322496
689	05/23/95	28.72141983
690	05/24/95	35.22616144
691	05/25/95	25.773228
692	05/26/95	24.63355154
693	05/30/95	22.2199002
694	05/31/95	38.3983336
695	06/01/95	27.03476115
696	06/02/95	32.91072
697	06/05/95	31.2847288
698	06/06/95	25.19818588
699	06/07/95	21.42435545
700	06/08/95	17.5464364
701	06/09/95	23.7772288
702	06/12/95	19.11191306
703	06/13/95	21.9632254
704	06/14/95	20.36097098
705	06/15/95	20.3695368
706	06/16/95	22.8143922
707	06/19/95	25.32567
708	06/20/95	34.11173527
709	06/21/95	26.30176944
710	06/22/95	33.19190876
711	06/23/95	19.45899463
712	06/26/95	18.8832608
713	06/27/95	28.07866479
714	06/28/95	27.365261
715	06/29/95	25.7679686
716	06/30/95	28.7472888
717	07/03/95	6.9295773
718	07/05/95	32.42116265
719	07/06/95	39.55361441
720	07/07/95	52.4344306
721	07/10/95	31.456766
722	07/11/95	28.92839937
723	07/12/95	38.41344
724	07/13/95	35.07378585
725	07/14/95	22.59354484
726	07/17/95	27.8287512
727	07/18/95	32.11972808
728	07/19/95	82.46134631
729	07/20/95	40.6421138
730	07/21/95	33.89649353
731	07/24/95	25.5287687
732	07/25/95	34.30919383
733	07/26/95	33.6723068
734	07/27/95	27.25264388
735	07/28/95	23.8109436
736	07/31/95	24.06252032
737	08/01/95	31.59893879
738	08/02/95	39.15282767
739	08/03/95	31.21492541
740	08/04/95	21.39219701
741	08/07/95	16.7225032
742	08/08/95	20.84784909
743	08/09/95	19.12570661
744	08/10/95	23.7630834
745	08/11/95	19.997681
746	08/14/95	19.8788375
747	08/15/95	23.3635316
748	08/16/95	31.32262228
749	08/17/95	25.34389
750	08/18/95	20.99025918
751	08/21/95	25.095864
752	08/22/95	19.02082955
753	08/23/95	18.7823548
754	08/24/95	19.5976
755	08/25/95	15.4182777
756	08/28/95	17.6412596
757	08/29/95	22.14516946
758	08/30/95	18.9326698
759	08/31/95	15.68539487
760	09/01/95	19.8124108
761	09/05/95	24.018052
762	09/06/95	24.85324368
763	09/07/95	22.66125353
764	09/08/95	23.5787632
765	09/11/95	21.22263
766	09/12/95	24.974082
767	09/13/95	39.49533134
768	09/14/95	37.8878256
769	09/15/95	35.43120687
770	09/18/95	27.78238155
771	09/19/95	23.5932664
772	09/20/95	33.01148399
773	09/21/95	33.549284
774	09/22/95	30.80561883
775	09/25/95	20.92022723
776	09/26/95	28.16288524
777	09/27/95	39.93806305
778	09/28/95	28.81694665
779	09/29/95	26.10526894
780	10/02/95	26.00344876
781	10/03/95	34.29404288
782	10/04/95	33.34453257
783	10/05/95	32.78399287
784	10/06/95	23.26742902
785	10/09/95	24.6623352
786	10/10/95	44.27949272
787	10/11/95	30.0108888
788	10/12/95	27.83081431
789	10/13/95	35.66925707
790	10/16/95	21.4246656
791	10/17/95	29.452843
792	10/18/95	36.99785064
793	10/19/95	34.9652538
794	10/20/95	30.2904456
795	10/23/95	26.8029388
796	10/24/95	36.61751
797	10/25/95	50.12502585
798	10/26/95	57.01645967
799	10/27/95	42.9733408
800	10/30/95	26.2660392
801	10/31/95	32.44832788
802	11/01/95	30.99403799
803	11/02/95	34.92458541
804	11/03/95	28.9882248
805	11/06/95	25.79355916
806	11/07/95	25.1030208
807	11/08/95	36.65336597
808	11/09/95	34.41306
809	11/10/95	22.49820571
810	11/13/95	25.88236422
811	11/14/95	34.24039145
812	11/15/95	38.81628194
813	11/16/95	42.47901522
814	11/17/95	37.7488235
815	11/20/95	28.03787005
816	11/21/95	41.4951264
817	11/22/95	45.935905
818	11/24/95	5.5470909
819	11/27/95	28.565636
820	11/28/95	40.620241
821	11/29/95	31.65132167
822	11/30/95	48.32412296
823	12/01/95	37.16824749
824	12/04/95	40.3905268
825	12/05/95	47.03692
826	12/06/95	36.36931639
827	12/07/95	32.881842
828	12/08/95	27.80475
829	12/11/95	35.34060435
830	12/12/95	32.8235739
831	12/13/95	42.2475984
832	12/14/95	54.5759544
833	12/15/95	52.22233042
834	12/18/95	49.73678057
835	12/19/95	2.3850296
836	12/20/95	55.18328648
837	12/21/95	43.4115898
838	12/22/95	23.958608
839	12/26/95	16.7004585
840	12/27/95	17.40663
841	12/28/95	20.31982793
842	12/29/95	25.8717024
843	01/02/96	44.0767054
844	01/03/96	51.33595825
845	01/04/96	74.4419934
846	01/05/96	48.32251227
847	01/08/96	3.532756
848	01/09/96	57.755638
849	01/10/96	75.32936703
850	01/11/96	39.580016
851	01/12/96	43.768944
852	01/15/96	26.5488678
853	01/16/96	49.006605
854	01/17/96	48.0600944
855	01/18/96	60.53510185
856	01/19/96	63.2950524
857	01/22/96	48.46137
858	01/23/96	41.87027291
859	01/24/96	57.3132778
860	01/25/96	52.40254655
861	01/26/96	41.104049
862	01/29/96	33.20836054
863	01/30/96	56.19563894
864	01/31/96	56.1268787
865	02/01/96	47.36118436
866	02/02/96	43.703081
867	02/05/96	43.2648528
868	02/06/96	52.18528
869	02/07/96	44.63493426
870	02/08/96	56.10820421
871	02/09/96	61.949908
872	02/12/96	45.1114146
873	02/13/96	50.7241152
874	02/14/96	41.60114928
875	02/15/96	45.0165348
876	02/16/96	41.37117301
877	02/20/96	48.48709966
878	02/21/96	46.269906
879	02/22/96	62.73924953
880	02/23/96	65.15783285
881	02/26/96	46.88533342
882	02/27/96	51.11379
883	02/28/96	61.79502221
884	02/29/96	55.17344555
885	03/01/96	70.3495308
886	03/04/96	56.08109015
887	03/05/96	43.473578
888	03/06/96	49.0397544
889	03/07/96	40.45430942
890	03/08/96	118.869163
891	03/11/96	80.869545
892	03/12/96	71.8322424
893	03/13/96	46.5567434
894	03/14/96	61.93837191
895	03/15/96	55.71574442
896	03/18/96	57.955089
897	03/19/96	59.69646
898	03/20/96	54.7752926
899	03/21/96	39.0018596
900	03/22/96	30.10624746
901	03/25/96	40.141374
902	03/26/96	42.20549241
903	03/27/96	43.4475832
904	03/28/96	36.9674841
905	03/29/96	54.82729302
906	04/01/96	42.2156392
907	04/02/96	44.5108144
908	04/03/96	36.0368502
909	04/04/96	39.89277
910	04/08/96	43.88658999
911	04/09/96	48.87599263
912	04/10/96	70.89713389
913	04/11/96	81.85952462
914	04/12/96	54.64669422
915	04/15/96	33.66369874
916	04/16/96	45.85230812
917	04/17/96	71.259336
918	04/18/96	44.24668871
919	04/19/96	38.87661727
920	04/22/96	37.4765034
921	04/23/96	39.41119001
922	04/24/96	52.8469446
923	04/25/96	50.976816
924	04/26/96	40.57099709
925	04/29/96	33.18513534
926	04/30/96	32.83233074
927	05/01/96	38.7342726
928	05/02/96	54.4132064
929	05/03/96	50.33213784
930	05/06/96	49.2850348
931	05/07/96	38.73150179
932	05/08/96	78.579956
933	05/09/96	46.45117774
934	05/10/96	34.97640919
935	05/13/96	41.9328684
936	05/14/96	44.3910204
937	05/15/96	45.15962311
938	05/16/96	39.2501293
939	05/17/96	42.1672964
940	05/20/96	46.6466
941	05/21/96	39.49459466
942	05/22/96	48.98472725
943	05/23/96	55.67409994
944	05/24/96	30.64057499
945	05/28/96	40.3663508
946	05/29/96	38.55290692
947	05/30/96	41.7635064
948	05/31/96	34.56295657
949	06/03/96	23.99671571
950	06/04/96	31.3696104
951	06/05/96	33.1597848
952	06/06/96	51.681112
953	06/07/96	66.51776279
954	06/10/96	28.1762052
955	06/11/96	44.62533296
956	06/12/96	34.92094621
957	06/13/96	36.5730876
958	06/14/96	30.15663724
959	06/17/96	22.48817639
960	06/18/96	28.26925049
961	06/19/96	35.70641731
962	06/20/96	45.1336698
963	06/21/96	43.2454574
964	06/24/96	27.37488
965	06/25/96	35.901959
966	06/26/96	33.6968136
967	06/27/96	40.15242
968	06/28/96	46.4014698
969	07/01/96	38.69979929
970	07/02/96	39.41692
971	07/03/96	31.4268596
972	07/05/96	15.7534107
973	07/08/96	37.6087392
974	07/09/96	31.234704
975	07/10/96	47.62519231
976	07/11/96	79.40290564
977	07/12/96	42.75844882
978	07/15/96	84.202069
979	07/16/96	18.3392795
980	07/17/96	72.03382994
981	07/18/96	70.3766518
982	07/19/96	39.54606525
983	07/22/96	32.445249
984	07/23/96	56.648513
985	07/24/96	72.79294882
986	07/25/96	46.03609022
987	07/26/96	36.756995
988	07/29/96	23.3300616
989	07/30/96	34.1806273
990	07/31/96	39.407634
991	08/01/96	53.11474754
992	08/02/96	45.136368
993	08/05/96	24.548476
994	08/06/96	29.93292372
995	08/07/96	37.6318662
996	08/08/96	28.46186854
997	08/09/96	30.3846752
998	08/12/96	37.52595378
999	08/13/96	34.72462753
1000	08/14/96	27.69742209
1001	08/15/96	22.1711391
1002	08/16/96	25.72892878
1003	08/19/96	18.9269888
1004	08/20/96	25.8957576
1005	08/21/96	30.0647958
1006	08/22/96	35.31752659
1007	08/23/96	25.40774358
1008	08/26/96	21.75454024
