x	nHPSseries
260	48.920
261	-72.916
262	68.190
263	-92.190
264	-9.430
265	-14.557
266	-10.290
267	-13.710
268	48.780
269	-72.759
270	42.632
271	-66.632
272	79.191
273	-103.208
274	45.042
275	-69.042
276	41.037
277	-65.042
278	-11.919
279	-12.081
280	-0.280
281	-23.724
282	61.168
283	-85.168
284	28.542
285	-52.521
286	49.580
287	-73.580
288	-5.654
289	-18.346
290	-1.626
291	-22.374
292	76.688
293	-100.684
294	22.125
295	-46.125
296	-6.028
297	-17.955
298	71.358
299	-95.358
300	82.107
301	-106.103
302	29.361
303	-53.361
304	83.644
305	-107.665
306	7.824
307	-31.824
308	49.771
309	-73.742
310	-9.103
311	-14.897
312	27.896
313	-51.892
314	46.970
315	-70.970
316	79.427
317	-103.435
318	38.740
319	-62.740
320	74.873
321	-98.856
322	53.397
323	-77.397
324	0.388
325	-24.367
326	65.941
327	-89.941
328	37.823
329	-61.810
330	6.476
331	-30.476
332	87.705
333	-111.734
334	84.172
335	-108.172
336	-11.449
337	-10.980
338	84.828
339	-105.061
340	69.218
341	-88.543
342	78.110
343	-95.652
344	-5.750
345	-10.601
346	89.045
347	-104.174
348	87.091
349	-101.020
350	87.284
351	-100.014
352	73.449
353	-84.978
354	55.194
355	-65.544
356	17.716
357	-26.853
358	9.807
359	-17.757
360	91.049
361	-97.787
362	9.288
363	-14.821
364	14.959
365	-19.975
366	75.072
367	-80.915
368	29.130
369	-35.146
370	20.969
371	-26.981
372	35.285
373	-41.281
374	17.677
375	-23.661
376	40.456
377	-46.472
378	4.069
379	-10.074
380	67.574
381	-73.599
382	32.269
383	-38.261
384	64.911
385	-70.915
386	93.390
387	-99.369
388	53.292
389	-59.280
390	70.104
391	-76.116
392	30.918
393	-36.918
394	27.386
395	-33.407
396	80.535
397	-86.522
398	50.986
399	-56.969
400	55.664
401	-61.631
402	73.341
403	-79.341
404	24.879
405	-30.879
406	19.306
407	-25.285
408	92.833
409	-98.791
410	-0.781
411	-5.219
412	58.200
413	-64.200
414	45.871
415	-51.854
416	73.497
417	-79.463
418	26.632
419	-32.623
420	62.965
421	-68.949
422	85.986
423	-91.965
424	96.985
425	-102.943
426	11.802
427	-17.815
428	17.496
429	-23.521
430	55.048
431	-61.017
432	89.324
433	-95.261
434	54.494
435	-58.190
436	68.117
437	-71.696
438	56.715
439	-59.615
440	23.870
441	-26.383
442	97.413
443	-99.521
444	42.684
445	-44.396
446	85.581
447	-86.894
448	42.480
449	-43.385
450	79.861
451	-80.390
452	53.751
453	-53.856
454	20.098
455	-19.827
456	62.414
457	-61.718
458	65.103
459	-63.987
460	52.643
461	-51.585
462	92.993
463	-92.812
464	44.167
465	-44.171
466	42.664
467	-42.660
468	52.476
469	-52.493
470	38.738
471	-38.738
472	78.470
473	-78.453
474	61.881
475	-61.897
476	58.000
477	-58.012
478	40.032
479	-40.032
480	60.597
481	-60.597
482	40.167
483	-40.167
484	77.257
485	-77.257
486	54.235
487	-54.235
488	46.181
489	-46.185
490	35.025
491	-35.025
492	21.602
493	-21.602
494	59.578
495	-59.578
496	47.249
497	-47.240
498	32.536
499	-32.536
500	83.133
501	-83.125
502	11.810
503	-11.810
504	88.611
505	-88.603
506	41.160
507	-41.160
508	44.451
509	-44.434
510	73.558
511	-73.558
512	69.046
513	-69.059
514	29.613
515	-29.613
516	99.157
517	-99.153
518	90.621
519	-90.621
520	75.040
521	-75.036
522	36.609
523	-36.609
524	39.142
525	-39.142
526	92.462
527	-92.462
528	36.001
529	-36.001
530	57.210
531	-57.210
532	3.935
533	-3.935
534	46.591
535	-46.591
536	40.321
537	-40.321
538	0.089
539	-0.089
540	16.107
541	-16.107
542	74.405
543	-74.405
544	99.516
545	-99.516
546	93.865
547	-93.865
548	95.522
549	-95.522
550	82.051
551	-82.051
552	90.887
553	-89.922
554	55.432
555	-53.552
556	24.890
557	-23.110
558	47.617
559	-46.004
560	61.313
561	-59.804
562	56.960
563	-55.614
564	63.541
565	-62.269
566	88.613
567	-87.534
568	32.653
569	-31.681
570	71.510
571	-70.697
572	62.515
573	-61.797
574	46.519
575	-45.972
576	27.941
577	-27.490
578	65.117
579	-64.837
580	12.294
581	-12.539
582	26.774
583	-28.142
584	83.619
585	-85.315
586	68.631
587	-70.631
588	94.389
589	-96.381
590	31.731
591	-33.731
592	55.721
593	-57.700
594	38.993
595	-40.993
596	94.007
597	-96.032
598	40.059
599	-42.059
600	79.008
601	-81.008
602	94.625
603	-96.625
604	53.597
605	-55.593
606	84.880
607	-86.880
608	53.885
609	-55.876
610	71.141
611	-73.141
612	83.971
613	-85.979
614	68.969
615	-70.969
616	3.771
617	-5.783
618	42.427
619	-44.427
620	85.986
621	-87.990
622	52.484
623	-54.484
624	58.498
625	-60.490
626	16.050
627	-18.050
628	63.626
629	-65.630
630	37.287
631	-39.287
632	86.362
633	-88.341
634	48.450
635	-50.450
636	57.115
637	-59.115
638	13.336
639	-15.336
640	38.824
641	-40.824
642	58.929
643	-60.929
644	58.666
645	-60.666
646	39.347
647	-41.347
648	43.467
649	-45.454
650	71.619
651	-73.619
652	51.056
653	-53.072
654	31.048
655	-33.048
656	15.366
657	-17.370
658	14.097
659	-16.097
660	49.103
661	-51.086
662	16.449
663	-18.449
664	88.228
665	-90.207
666	90.237
667	-92.237
668	98.548
669	-100.548
670	85.906
671	-87.129
672	48.112
673	-48.314
674	91.783
675	-91.581
676	87.256
677	-86.263
678	24.634
679	-23.091
680	27.482
681	-25.414
682	85.597
683	-83.000
684	90.186
685	-87.056
686	89.870
687	-86.202
688	38.898
689	-34.680
690	94.612
691	-89.906
692	49.079
693	-43.819
694	81.826
695	-76.049
696	41.103
697	-34.768
698	24.054
699	-17.511
700	40.115
701	-34.036
702	87.636
703	-81.632
704	34.618
705	-28.627
706	32.871
707	-26.888
708	50.925
709	-44.921
710	30.409
711	-24.393
712	29.225
713	-23.229
714	17.137
715	-11.120
716	89.600
717	-83.600
718	17.960
719	-11.977
720	77.646
721	-71.646
722	82.377
723	-76.377
724	32.804
725	-26.783
726	31.728
727	-25.728
728	3.839
729	2.165
730	65.123
731	-59.123
732	12.064
733	-6.064
734	70.008
735	-64.012
736	97.574
737	-91.582
738	11.620
739	-5.624
740	88.340
741	-82.348
742	11.587
743	-5.587
744	66.131
745	-60.131
746	98.131
747	-92.119
748	87.646
749	-81.621
750	38.186
751	-32.186
752	84.366
753	-78.366
754	11.975
755	-5.996
756	90.333
757	-84.375
758	70.036
759	-64.053
760	75.794
761	-69.827
762	15.229
763	-9.237
764	16.168
765	-10.185
766	75.475
767	-69.462
768	10.309
769	-4.284
770	25.461
771	-19.445
772	21.016
773	-14.983
774	95.538
775	-89.542
776	100.714
777	-94.723
778	80.790
779	-74.798
780	6.045
781	-0.053
782	62.090
783	-56.098
784	35.962
785	-29.970
786	8.272
787	-3.449
788	14.815
789	-11.728
790	99.502
791	-97.927
792	2.390
793	-1.999
794	88.457
795	-89.241
796	26.641
797	-28.650
798	20.752
799	-23.990
800	11.272
801	-15.698
802	23.468
803	-29.085
804	9.963
805	-16.801
806	93.360
807	-101.361
808	30.975
809	-40.218
810	56.825
811	-67.239
812	17.572
813	-29.164
814	0.111
815	-12.407
816	-2.060
817	-9.985
818	92.700
819	-104.713
820	5.956
821	-17.969
822	61.558
823	-73.554
824	25.351
825	-37.355
826	15.056
827	-27.060
828	87.394
829	-99.373
830	78.637
831	-90.628
832	21.800
833	-33.813
834	11.857
835	-23.853
836	17.055
837	-29.072
838	37.732
839	-49.727
840	5.046
841	-17.058
842	24.421
843	-36.437
844	62.946
845	-74.959
846	37.717
847	-49.721
848	3.856
849	-15.852
850	59.433
851	-71.421
852	93.560
853	-105.576
854	7.213
855	-19.246
856	46.151
857	-58.160
858	13.412
859	-25.429
860	86.125
861	-98.125
862	63.698
863	-75.698
864	32.512
865	-44.503
866	52.382
867	-64.366
868	91.284
869	-103.288
870	50.593
871	-62.601
872	-3.415
873	-8.568
874	13.311
875	-25.277
876	48.886
877	-60.869
878	11.200
879	-23.166
880	58.676
881	-70.676
882	6.136
883	-18.136
884	70.211
885	-82.211
886	54.491
887	-66.491
888	23.779
889	-33.825
890	83.299
891	-93.515
892	85.697
893	-97.064
894	92.840
895	-104.365
896	28.321
897	-41.037
898	85.835
899	-98.727
900	-2.215
901	-11.831
902	-3.817
903	-10.400
904	84.282
905	-99.649
906	88.371
907	-103.896
908	68.095
909	-84.812
910	38.117
911	-55.492
912	27.616
913	-45.649
914	13.117
915	-32.359
916	37.787
917	-59.300
918	6.780
919	-28.755
920	-0.665
921	-21.360
922	66.463
923	-88.479
924	12.009
925	-34.009
926	16.731
927	-38.727
928	-5.290
929	-16.722
930	13.849
931	-35.840
932	42.108
933	-64.099
934	-10.840
935	-11.185
936	1.485
937	-23.493
938	68.704
939	-90.699
940	26.244
941	-48.231
942	51.586
943	-73.594
944	39.790
945	-61.782
946	72.444
947	-94.444
948	42.969
949	-64.969
950	80.063
951	-102.063
952	73.818
953	-95.826
954	58.874
955	-80.874
956	1.070
957	-23.062
958	7.200
959	-29.200
960	54.363
961	-76.367
962	54.217
963	-76.217
964	88.784
965	-110.784
966	23.466
967	-45.466
968	1.961
969	-23.936
970	17.561
971	-39.561
972	2.835
973	-24.806
974	3.696
975	-25.696
976	42.284
977	-64.284
978	84.068
979	-106.068
980	14.773
981	-36.769
982	11.935
983	-33.935
984	46.118
985	-68.118
986	67.715
987	-89.715
988	-10.350
989	-11.670
990	74.324
991	-96.324
992	23.433
993	-43.600
994	41.333
995	-58.985
996	80.625
997	-97.277
998	46.836
999	-61.492
1000	5.662
1001	-18.985
1002	-3.775
1003	-8.239
1004	87.477
1005	-98.125
1006	73.349
1007	-82.638
1008	74.005
1009	-82.006
1010	59.284
1011	-65.944
1012	86.981
1013	-92.287
1014	67.665
1015	-71.679
1016	9.937
1017	-12.576
1018	71.396
1019	-72.693
1020	29.322
1021	-30.120
1022	27.563
1023	-29.353
1024	71.214
1025	-73.231
1026	74.113
1027	-76.126
1028	93.709
1029	-95.705
1030	62.960
1031	-64.973
1032	84.107
1033	-86.099
1034	57.648
1035	-59.660
1036	40.140
1037	-42.169
1038	30.249
1039	-32.245
1040	52.906
1041	-54.902
1042	29.377
1043	-31.381
1044	78.241
1045	-80.241
1046	5.810
1047	-7.814
1048	19.159
1049	-21.184
1050	63.803
1051	-65.787
1052	76.794
1053	-78.819
1054	13.248
1055	-15.248
1056	72.405
1057	-74.384
1058	61.475
1059	-63.475
1060	1.718
1061	-3.718
1062	83.339
1063	-85.339
1064	59.239
1065	-61.223
1066	49.133
1067	-51.133
1068	84.056
1069	-86.056
1070	16.991
1071	-18.991
1072	97.618
1073	-99.614
1074	95.479
1075	-97.479
1076	72.855
1077	-74.838
1078	76.046
1079	-78.046
1080	96.653
1081	-98.649
1082	2.087
1083	-4.087
1084	91.533
1085	-93.550
1086	7.723
1087	-9.723
1088	12.221
1089	-13.319
1090	93.755
1091	-94.318
1092	40.407
1093	-41.478
1094	90.253
1095	-92.149
1096	49.368
1097	-51.780
1098	7.712
1099	-10.941
1100	70.573
1101	-74.298
1102	6.090
1103	-10.653
1104	36.831
1105	-41.889
1106	72.126
1107	-78.214
1108	79.627
1109	-86.344
1110	35.436
1111	-42.836
1112	41.195
1113	-49.257
1114	65.007
1115	-73.723
1116	44.977
1117	-54.769
1118	46.965
1119	-58.540
1120	55.132
1121	-67.124
1122	37.366
1123	-49.349
1124	26.768
1125	-38.772
1126	74.373
1127	-86.352
1128	60.324
1129	-72.303
1130	-1.378
1131	-10.618
1132	70.415
1133	-82.432
1134	6.670
1135	-18.666
1136	52.193
1137	-64.193
1138	29.656
1139	-41.652
1140	24.730
1141	-36.751
1142	72.532
1143	-84.557
1144	19.536
1145	-31.553
1146	48.408
1147	-60.383
1148	72.629
1149	-84.633
1150	60.415
1151	-72.424
1152	14.327
1153	-26.323
1154	65.078
1155	-77.070
1156	56.030
1157	-68.014
1158	24.149
1159	-36.162
1160	38.310
1161	-50.335
1162	93.427
1163	-105.410
1164	24.497
1165	-36.464
1166	88.776
1167	-100.755
1168	12.433
1169	-24.392
1170	51.350
1171	-63.354
1172	-1.347
1173	-10.661
1174	78.049
1175	-90.037
1176	-2.820
1177	-9.155
1178	45.525
1179	-57.516
1180	53.214
1181	-65.197
1182	-2.519
1183	-9.481
1184	10.990
1185	-22.990
1186	54.635
1187	-63.556
1188	53.012
1189	-61.120
1190	84.650
1191	-91.421
1192	66.521
1193	-72.247
1194	4.275
1195	-8.930
1196	20.335
1197	-23.914
1198	21.561
1199	-24.082
1200	19.361
1201	-20.815
1202	44.131
1203	-44.507
1204	79.646
1205	-78.963
1206	7.917
1207	-6.175
1208	35.734
1209	-32.947
1210	55.743
1211	-51.868
1212	28.898
1213	-24.432
1214	83.226
1215	-79.146
1216	28.372
1217	-24.364
1218	98.575
1219	-94.571
1220	64.539
1221	-60.539
1222	30.923
1223	-26.944
1224	40.902
1225	-36.889
1226	101.322
1227	-97.339
1228	55.916
1229	-51.904
1230	39.782
1231	-35.761
1232	81.893
1233	-77.897
1234	66.941
1235	-62.933
1236	15.501
1237	-11.488
1238	76.402
1239	-72.381
1240	34.994
1241	-30.990
1242	91.123
1243	-87.123
1244	97.433
1245	-93.441
1246	68.108
1247	-64.100
1248	83.577
1249	-79.590
1250	75.792
1251	-71.817
1252	33.433
1253	-29.420
1254	24.558
1255	-20.533
1256	101.662
1257	-97.662
1258	66.948
1259	-62.948
1260	15.851
1261	-11.872
1262	18.579
1263	-14.621
1264	75.921
1265	-71.933
1266	21.468
1267	-17.493
1268	3.720
1269	0.280
1270	3.551
1271	0.449
1272	7.368
1273	-3.389
1274	101.587
1275	-97.629
1276	7.427
1277	-3.427
1278	19.912
1279	-15.912
1280	79.610
1281	-76.329
1282	67.178
1283	-64.149
1284	52.301
1285	-51.770
1286	68.935
1287	-69.612
1288	15.961
1289	-17.851
1290	59.162
1291	-62.239
1292	68.083
1293	-72.381
1294	36.582
1295	-42.056
1296	24.815
1297	-31.501
1298	66.174
1299	-74.076
1300	7.017
1301	-16.124
1302	53.274
1303	-63.555
1304	75.407
1305	-86.897
1306	42.832
1307	-55.510
1308	28.765
1309	-42.326
1310	41.110
1311	-54.979
1312	63.217
1313	-77.269
1314	21.298
1315	-35.294
1316	0.794
1317	-14.807
1318	54.776
1319	-68.763
1320	29.747
1321	-43.718
1322	-3.798
1323	-10.185
1324	12.580
1325	-26.585
1326	92.881
1327	-106.897
1328	50.455
1329	-64.443
1330	10.303
1331	-24.286
1332	16.026
1333	-30.017
1334	68.810
1335	-82.818
1336	-4.046
1337	-9.979
1338	89.183
1339	-103.170
1340	82.071
1341	-96.058
1342	66.541
1343	-80.537
1344	91.607
1345	-105.620
1346	10.990
1347	-24.990
1348	-1.805
1349	-12.220
1350	51.362
1351	-65.362
1352	14.335
1353	-28.323
1354	50.809
1355	-64.809
1356	2.865
1357	-16.869
1358	79.358
1359	-93.358
1360	85.375
1361	-99.375
1362	82.503
1363	-96.503
1364	10.516
1365	-24.524
1366	58.144
1367	-72.144
1368	-2.556
1369	-11.444
1370	91.457
1371	-105.457
1372	40.629
1373	-54.621
1374	71.912
1375	-85.912
1376	-5.927
1377	-8.065
1378	3.232
1379	-17.232
1380	32.821
1381	-46.826
1382	84.869
1383	-98.869
1384	40.704
1385	-54.700
1386	-5.423
1387	-8.577
1388	20.869
1389	-34.847
1390	60.676
1391	-73.885
1392	69.326
1393	-81.230
1394	87.678
1395	-97.688
1396	21.075
1397	-30.326
1398	80.703
1399	-89.129
1400	40.797
1401	-48.428
1402	62.995
1403	-69.834
1404	20.068
1405	-26.091
1406	89.669
1407	-94.891
1408	40.260
1409	-44.711
1410	81.465
1411	-85.087
1412	85.222
1413	-88.048
1414	98.691
1415	-100.718
1416	59.946
1417	-61.189
1418	10.538
1419	-11.543
1420	37.801
1421	-39.662
1422	2.014
1423	-4.002
1424	6.891
1425	-8.899
1426	55.876
1427	-57.851
1428	57.734
1429	-59.755
1430	53.906
1431	-55.910
1432	27.035
1433	-29.035
1434	85.370
1435	-87.365
1436	29.769
1437	-31.765
1438	55.409
1439	-57.396
1440	11.506
1441	-13.481
1442	31.561
1443	-33.565
1444	39.948
1445	-41.957
1446	83.034
1447	-85.038
1448	45.640
1449	-47.627
1450	50.714
1451	-52.689
1452	70.041
1453	-72.057
1454	61.328
1455	-63.361
1456	46.710
1457	-48.735
1458	64.727
1459	-66.777
1460	89.790
1461	-91.786
1462	93.327
1463	-95.319
1464	12.546
1465	-14.550
1466	47.271
1467	-49.279
1468	4.098
1469	-6.090
1470	56.911
1471	-58.894
1472	26.814
1473	-28.801
1474	26.020
1475	-27.995
1476	73.120
1477	-75.120
1478	90.015
1479	-92.015
1480	26.843
1481	-28.851
1482	69.294
1483	-71.311
1484	75.445
1485	-76.485
1486	29.185
1487	-29.731
1488	70.685
1489	-70.330
1490	16.973
1491	-16.102
1492	18.007
1493	-16.582
1494	53.314
1495	-51.359
1496	67.525
1497	-65.038
1498	24.280
1499	-21.275
1500	79.108
1501	-75.554
1502	98.327
1503	-94.239
1504	26.250
1505	-21.612
1506	100.775
1507	-95.616
1508	79.777
1509	-74.081
1510	50.310
1511	-44.109
1512	83.248
1513	-76.789
1514	18.947
1515	-12.895
1516	43.645
1517	-37.629
1518	89.230
1519	-83.209
1520	61.251
1521	-55.226
1522	19.856
1523	-13.856
1524	20.649
1525	-14.628
1526	7.132
1527	-1.128
1528	4.359
1529	1.658
1530	95.803
1531	-89.824
1532	97.542
1533	-91.534
1534	61.727
1535	-55.744
1536	4.277
1537	1.736
1538	43.963
1539	-37.980
1540	69.267
1541	-63.251
1542	83.212
1543	-77.208
1544	13.608
1545	-7.621
1546	13.237
1547	-7.237
1548	29.634
1549	-23.634
1550	50.347
1551	-44.347
1552	15.072
1553	-9.080
1554	20.766
1555	-14.766
1556	62.514
1557	-56.539
1558	10.384
1559	-4.384
1560	40.812
1561	-34.812
1562	96.314
1563	-90.314
1564	95.230
1565	-89.226
1566	36.608
1567	-30.608
1568	51.091
1569	-45.070
1570	44.463
1571	-38.463
1572	28.455
1573	-22.476
1574	59.500
1575	-53.500
1576	52.861
1577	-46.844
1578	24.131
1579	-18.131
1580	66.985
1581	-61.010
1582	79.367
1583	-73.367
1584	100.651
1585	-94.643
1586	10.134
1587	-4.134
1588	68.225
1589	-62.212
1590	102.859
1591	-96.859
1592	69.562
1593	-63.562
1594	51.123
1595	-45.123
1596	63.731
1597	-57.731
1598	47.332
1599	-41.332
1600	48.752
1601	-42.752
1602	18.585
1603	-12.585
1604	48.667
1605	-42.667
1606	63.200
1607	-59.590
1608	33.604
1609	-30.697
1610	56.294
1611	-54.529
1612	76.728
1613	-75.904
1614	95.630
1615	-95.761
1616	83.115
1617	-84.175
1618	89.876
1619	-91.857
1620	34.598
1621	-37.508
1622	25.520
1623	-29.376
1624	50.831
1625	-55.625
1626	72.371
1627	-78.073
1628	30.035
1629	-36.691
1630	4.745
1631	-12.321
1632	77.906
1633	-86.058
1634	71.068
1635	-79.111
1636	86.065
1637	-94.073
1638	90.510
1639	-98.514
1640	2.239
1641	-10.252
1642	8.651
1643	-16.651
1644	27.521
1645	-35.529
1646	2.464
1647	-10.468
1648	79.067
1649	-87.067
1650	48.409
1651	-56.409
1652	15.577
1653	-23.556
1654	34.005
1655	-42.001
1656	39.495
1657	-47.508
1658	85.327
1659	-93.311
1660	88.898
1661	-96.881
1662	33.774
1663	-41.757
1664	30.793
1665	-38.789
1666	29.347
1667	-37.355
1668	67.905
1669	-75.892
1670	29.616
1671	-37.620
1672	10.231
1673	-18.240
1674	50.435
1675	-58.418
1676	11.393
1677	-19.360
1678	55.708
1679	-63.725
1680	67.632
1681	-75.665
1682	19.643
1683	-27.664
1684	88.631
1685	-96.673
1686	20.199
1687	-28.182
1688	39.154
1689	-47.121
1690	53.235
1691	-61.251
1692	63.862
1693	-71.895
1694	74.285
1695	-82.268
1696	7.020
1697	-14.986
1698	88.181
1699	-96.197
1700	13.713
1701	-21.746
1702	11.770
1703	-19.766
1704	72.255
1705	-80.246
1706	-3.579
1707	-4.421
1708	57.558
1709	-65.558
1710	70.540
1711	-78.528
1712	57.049
1713	-65.024
1714	82.854
1715	-90.875
1716	88.775
1717	-96.817
1718	65.528
1719	-72.240
1720	58.652
1721	-64.410
1722	71.688
1723	-78.038
1724	58.720
1725	-66.079
1726	87.411
1727	-95.373
1728	18.079
1729	-27.038
1730	59.915
1731	-69.473
1732	46.712
1733	-57.271
1734	76.837
1735	-87.974
1736	46.564
1737	-58.722
1738	55.076
1739	-67.843
1740	92.500
1741	-106.450
1742	63.288
1743	-78.046
1744	54.484
1745	-70.026
1746	80.833
1747	-97.758
1748	73.719
1749	-93.124
1750	84.940
1751	-104.911
1752	87.879
1753	-107.900
1754	40.258
1755	-60.241
1756	-7.142
1757	-12.845
1758	29.404
1759	-49.412
1760	19.868
1761	-39.884
1762	45.599
1763	-65.587
1764	50.596
1765	-70.604
1766	28.663
1767	-48.654
1768	26.115
1769	-46.102
1770	68.570
1771	-88.582
1772	75.834
1773	-95.822
1774	77.178
1775	-97.174
1776	-7.458
1777	-12.542
1778	35.362
1779	-55.350
1780	-8.826
1781	-11.179
1782	70.042
1783	-90.025
1784	86.998
1785	-106.965
1786	71.154
1787	-91.170
1788	11.408
1789	-31.441
1790	82.261
1791	-102.265
1792	48.929
1793	-68.937
1794	20.053
1795	-40.073
1796	4.388
1797	-24.429
1798	48.388
1799	-68.388
1800	19.434
1801	-39.434
1802	5.947
1803	-25.947
1804	36.128
1805	-56.128
1806	26.074
1807	-46.061
1808	74.753
1809	-94.728
1810	62.683
1811	-82.687
1812	5.531
1813	-25.539
1814	33.807
1815	-53.803
1816	44.976
1817	-64.967
1818	70.757
1819	-90.765
1820	14.250
1821	-34.267
1822	19.443
1823	-39.431
1824	79.154
1825	-99.129
1826	35.981
1827	-55.956
1828	43.932
1829	-63.882
1830	64.576
1831	-84.593
1832	10.198
1833	-30.231
1834	63.889
1835	-83.880
1836	62.173
1837	-82.155
1838	49.806
1839	-65.423
1840	37.488
1841	-52.114
1842	71.073
1843	-84.003
1844	-1.401
1845	-10.183
1846	6.465
1847	-16.720
1848	2.573
1849	-11.499
1850	16.629
1851	-24.209
1852	8.696
1853	-14.989
1854	89.157
1855	-94.095
1856	66.518
1857	-70.127
1858	41.853
1859	-44.137
1860	18.710
1861	-19.640
1862	47.586
1863	-47.203
1864	99.596
1865	-98.626
1866	70.180
1867	-70.021
1868	65.869
1869	-65.857
1870	48.336
1871	-48.324
1872	12.276
1873	-12.264
1874	57.375
1875	-57.400
1876	69.472
1877	-69.489
1878	5.371
1879	-5.367
1880	51.540
1881	-51.552
1882	50.449
1883	-50.444
1884	92.433
1885	-92.416
1886	94.733
1887	-94.733
1888	19.042
1889	-19.025
1890	70.036
1891	-70.048
1892	60.954
1893	-60.933
1894	53.290
1895	-53.260
1896	31.453
1897	-31.462
1898	95.442
1899	-95.442
1900	56.722
1901	-56.722
1902	81.011
1903	-81.036
1904	83.080
1905	-83.130
1906	67.158
1907	-67.137
1908	77.772
1909	-77.730
1910	2.017
1911	-2.021
1912	31.832
1913	-31.840
1914	21.255
1915	-21.284
1916	11.527
1917	-11.586
1918	39.673
1919	-39.669
1920	29.302
1921	-29.293
1922	25.312
1923	-25.312
1924	93.168
1925	-93.168
1926	82.408
1927	-82.392
1928	59.657
1929	-59.623
1930	73.320
1931	-73.345
1932	36.530
1933	-36.580
1934	74.091
1935	-74.083
1936	59.829
1937	-59.813
1938	80.831
1939	-80.810
1940	6.290
1941	-6.249
1942	79.206
1943	-79.226
1944	3.058
1945	-3.100
1946	46.026
1947	-46.068
1948	50.684
1949	-50.726
1950	63.375
1951	-63.417
1952	66.121
1953	-65.526
1954	87.403
1955	-86.984
1956	1.965
1957	-3.200
1958	71.613
1959	-73.102
1960	61.736
1961	-64.809
1962	8.937
1963	-12.710
1964	53.788
1965	-58.715
1966	74.935
1967	-80.816
1968	2.923
1969	-9.754
1970	16.874
1971	-24.631
1972	62.388
1973	-71.048
1974	14.014
1975	-23.628
1976	24.176
1977	-34.740
1978	85.377
1979	-97.125
1980	10.335
1981	-23.800
1982	45.009
1983	-59.009
1984	19.726
1985	-33.743
1986	77.042
1987	-91.017
1988	48.206
1989	-62.189
1990	1.813
1991	-15.817
